name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),N (mom),bri (kHz),above zero
2024-01-18_multipletau_mod-filtering_0dot069_0012_correlation-CH1_1,Not known,mod-filtering,0,Thu Jan 18 17:36:31 2024,Equation 1A,2,no triplet,1,2D,1.0,8192.0,0.0006886106208161547,None,1.1068457056946823,None,0.903468292694307,1.1068457056946823,0.9967323915932358,None,0.003267608406764211,None,10.589807245618358,None,1.0056897498988973,None,1.0,None,1.0,None,1.0,1.0,0.7340425531914894
2024-01-18_multipletau_mod-filtering_0dot069_0013_correlation-CH1_1,Not known,mod-filtering,0,Thu Jan 18 17:36:31 2024,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.019339945569833983,None,2.007563520993572,None,0.4981162436668931,2.007563520993572,0.9902652222309551,None,0.009734777769044856,None,7.015148565421966,None,896.7715498420863,None,1.0,None,1.0,None,1.0,1.0,0.7446808510638298
2024-01-18_multipletau_mod-filtering_0dot069_0014_correlation-CH1_1,Not known,mod-filtering,0,Thu Jan 18 17:36:31 2024,Equation 1A,2,no triplet,1,2D,1.0,8192.0,0.000866808786835982,None,1.1353447696452164,None,0.880789718450449,1.1353447696452164,0.9719777402299008,None,0.0280222597700992,None,10.837459235486284,None,1.2753712503992545,None,1.0,None,1.0,None,1.0,1.0,0.723404255319149
2024-01-18_multipletau_mod-filtering_0dot069_0015_correlation-CH1_1,Not known,mod-filtering,0,Thu Jan 18 17:36:31 2024,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.006364096220570548,None,0.9727615459831841,None,1.0280011623910212,0.972761545983184,0.934717139911144,None,0.06528286008885598,None,9.671784544480763,None,0.06349345285988622,None,1.0,None,1.0,None,1.0,1.0,0.7872340425531915
2024-01-18_multipletau_mod-filtering_0dot069_0016_correlation-CH1_1,Not known,mod-filtering,0,Thu Jan 18 17:36:31 2024,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.023637091836607005,None,1.3006937465306558,None,0.7688204872725058,1.3006937465306558,0.9966700596574445,None,0.003329940342555515,None,8.448576162990372,None,6.948440106699331,None,1.0,None,1.0,None,1.0,1.0,0.6595744680851063
2024-01-18_multipletau_mod-filtering_0dot069_0017_correlation-CH1_1,Not known,mod-filtering,0,Thu Jan 18 17:36:31 2024,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.004626000000000019,None,1.070521,None,0.9341245991437813,1.070521,1.0,None,0.0,None,9.864168999999992,None,1.000000000000166,None,1.0,None,1.0,None,1.0,1.0,0.8191489361702128
2024-01-18_multipletau_mod-filtering_0dot069_0018_correlation-CH1_1,Not known,mod-filtering,0,Thu Jan 18 17:36:31 2024,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.004626000000000019,None,1.070521,None,0.9341245991437813,1.070521,1.0,None,0.0,None,9.864168999999992,None,1.000000000000166,None,1.0,None,1.0,None,1.0,1.0,0.6595744680851063
2024-01-18_multipletau_mod-filtering_0dot069_0019_correlation-CH1_1,Not known,mod-filtering,0,Thu Jan 18 17:36:31 2024,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.021243504248758982,None,1.0311767062230748,None,0.9697658936291659,1.0311767062230748,0.9999788990664018,None,2.110093359819487e-05,None,8.385808006083133,None,1.0228984607202316,None,1.0,None,1.0,None,1.0,1.0,0.723404255319149
2024-01-18_multipletau_mod-filtering_0dot069_0020_correlation-CH1_1,Not known,mod-filtering,0,Thu Jan 18 17:36:31 2024,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.004626000000000019,None,1.070521,None,0.9341245991437813,1.070521,1.0,None,0.0,None,9.864168999999992,None,1.000000000000166,None,1.0,None,1.0,None,1.0,1.0,0.5638297872340425
2024-01-18_multipletau_mod-filtering_0dot069_0021_correlation-CH1_1,Not known,mod-filtering,0,Thu Jan 18 17:36:31 2024,Equation 1A,2,no triplet,1,2D,1.0,8192.0,0.002073711887407681,None,0.9299871136056309,None,1.0752837166989593,0.9299871136056308,0.23500160410392557,None,0.7649983958960744,None,56.666469276496514,None,6.702966599138596,None,1.0,None,1.0,None,1.0,1.0,0.7659574468085106
