version,3.0
numOfCH,1
type,point
parent_name,tttr2xfcs_with_averaging
ch_type,2_2
kcount,537.5262104841937
numberNandB,2.8649307145334326
brightnessNandB,187.6321462741013
carpet pos,0
pc,0
Time (ms),CH2 Auto-Correlation
1e-06,-1.0
2e-06,-1.0
3e-06,-1.0
4e-06,-1.0
5e-06,-1.0
6e-06,-1.0
8e-06,-1.0
1e-05,-1.0
1.2e-05,-1.0
1.4e-05,-1.0
1.6e-05,-1.0
1.8e-05,-1.0
2.2e-05,-1.0
2.6e-05,-1.0
3e-05,-1.0
3.4e-05,-1.0
3.8e-05,-1.0
4.2e-05,-1.0
5e-05,-1.0
5.8e-05,-1.0
6.6e-05,-1.0
7.4e-05,-0.5972221666161144
8.2e-05,-0.7574149837917089
9e-05,-1.0
0.000106,-0.2199119708163881
0.000122,0.40825028454004225
0.000138,0.08764823872690845
0.000154,-0.2634463762019815
0.00017,0.5569268130692087
0.000186,-0.19061112058769425
0.000218,0.1580148341253371
0.00025,-0.0015547287644118888
0.000282,0.028889516508350407
0.000314,0.02814059212205418
0.000346,0.13722380483590896
0.000378,-0.02880703770753629
0.000442,0.054142238444802746
0.000506,0.0005364974196025473
0.00057,0.0732915161600898
0.000634,0.0035883794245755783
0.000698,0.0700294169669165
0.000762,0.0012108966621350175
0.00089,0.031751750184884645
0.001018,0.04754309627204152
0.001146,0.04407149947696368
0.001274,0.02964863837486899
0.001402,0.027430388219207708
0.00153,0.030104881553645834
0.001786,0.03412682770766365
0.002042,0.03408371273787701
0.002298,0.030096220973136186
0.002554,0.028695842899826948
0.00281,0.04085891572724253
0.003066,0.02799101870355779
0.003578,0.034540302524197784
0.00409,0.025614127431731856
0.004602,0.033497112537199426
0.005114,0.032247331141435215
0.005626,0.02759010065870094
0.006138,0.03346906987742897
0.007162,0.027718354191468536
0.008186,0.02498098635241082
0.00921,0.027373030290628136
0.010234,0.021330914216189836
0.011258,0.025702396934970107
0.012282,0.023378703637476596
0.01433,0.02325915031646457
0.016378,0.02376404622867911
0.018426,0.018436487835292475
0.020474,0.021226217194889527
0.022522,0.022069962249286253
0.02457,0.01588644286843719
0.028666,0.0178066211321925
0.032762,0.013883748457245637
0.036858,0.01612746844875891
0.040954,0.01356105465337019
0.04505,0.014531855448117978
0.049146,0.011413017651832101
0.057338,0.008256925521816604
0.06553,0.008979335569967035
0.073722,0.0073507552035462125
0.081914,0.00524559521731752
0.090106,0.00578387578997147
0.098298,0.0024221208180909923
0.114682,-0.0009751818231310247
0.131066,-0.0029172125693925615
0.14745,-0.0018590131598262636
0.163834,-0.004292011957926229
0.180218,-0.004218306976523161
0.196602,-0.0033493237392456772
0.22937,-0.011141967148841863
0.262138,-0.01186514939575989
0.294906,-0.012126573520684554
0.327674,-0.01339501983925121
0.360442,-0.014214819838505118
0.39321,-0.013690950191592876
0.458746,-0.02202521918367439
0.524282,-0.024112013203155
0.589818,-0.025421484359182678
0.655354,-0.024599200325566527
0.72089,-0.025384605873008694
0.786426,-0.029638130650303164
0.917498,-0.19389736891592174
1.04857,-0.26805610943855074
1.179642,-0.26476094270939154
1.310714,-0.26717094451463536
1.441786,-0.2674450570406903
1.572858,-0.26830868790645046
1.835002,-0.32658172346730435
2.097146,-0.35683800428218027
2.35929,-0.3607173312833169
2.621434,-0.3694576690257962
2.883578,-0.3892371468498431
3.145722,-0.3896773601391839
3.67001,-0.40012472702744206
4.194298,-0.4128374108863367
4.718586,-0.4270410223657932
5.242874,-0.44365280389181644
5.767162,-0.44973134593965236
6.29145,-0.4591338498598881
7.340026,-0.47700745234253167
8.388602,-0.48680282061727026
9.437178,-0.4967521588579726
10.485754,-0.49933503202300494
11.53433,-0.5054157341572115
12.582906,-0.5208688041827731
14.680058,-0.5588406374903402
16.77721,-0.5712391309467911
18.874362,-0.5836973371619214
20.971514,-0.6110301118097422
23.068666,-0.6184649750455073
25.165818,-0.6193447986744774
29.360122,-0.6546302396647878
33.554426,-0.6754627969077066
37.74873,-0.688098246070486
41.943034,-0.6932229729453052
46.137338,-0.7029784517321099
50.331642,-0.709134801931449
58.72025,-0.7402111938856587
67.108858,-0.7587767061160153
75.497466,-0.7834682026321392
83.886074,-0.8120996410591309
92.274682,-0.8358516577436214
100.66329,-0.8509156039935354
117.440506,-0.8923514402664974
134.217722,-0.9035066268516369
150.994938,-0.9199377682668805
167.772154,-0.9251844804033447
184.54937,-0.944908320698517
201.326586,-0.9541445344918035
234.881018,-0.969385305701371
268.43545,-0.9696985384328307
301.989882,-0.9707832994599424
335.544314,-0.9723784786745994
369.098746,-0.9776778716673823
402.653178,-0.9838482460658812
469.762042,-0.9850121184255115
536.870906,-0.9854985972997871
603.97977,-0.9863502468311771
671.088634,-0.9922420453262781
738.197498,-0.9924958155001374
805.306362,-0.9928191298466034
939.52409,-0.9957249502697026
1073.741818,-1.0000001930484335
1207.959546,-1.0
1342.177274,-1.0
1476.395002,-1.0
1610.61273,-1.0
1879.048186,-1.0
2147.483642,-1.0
2415.919098,-1.0
2684.354554,-1.0
2952.79001,-1.0
3221.225466,-1.0
3758.096378,-1.0
4294.96729,-1.0
4831.838202,-1.0
5368.709114,-1.0
5905.580026,-1.0
6442.450938,-1.0
end
