Time (ms),2022-04-25_multipletau_0cd20_0dot6-0dot01_2843_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot6-0dot01_2843_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot6-0dot01_2809_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot6-0dot01_2809_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot6-0dot01_2807_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot6-0dot01_2807_correlation-CH1_1 fitted model: ,
1.0,0.25085318088531494, ,0.24987338483333588, ,0.1792994737625122, ,
2.0,0.24940946698188782, ,0.24894940853118896, ,0.17783913016319275, ,
3.0,0.24804097414016724, ,0.24807319045066833, ,0.17650896310806274, ,
4.0,0.24675142765045166, ,0.2472478449344635, ,0.17521746456623077, ,
5.0,0.24552686512470245, ,0.24644425511360168, ,0.17391552031040192, ,
6.0,0.24438317120075226, ,0.245626762509346, ,0.17299875617027283, ,
7.0,0.2431611567735672, ,0.2448539137840271, ,0.17208783328533173, ,
8.0,0.24203692376613617, ,0.24409547448158264, ,0.17127448320388794, ,
9.0,0.24099841713905334, ,0.24333743751049042, ,0.1704837828874588, ,
10.0,0.2399473935365677, ,0.24258427321910858, ,0.169740691781044, ,
11.0,0.23895397782325745, ,0.24190421402454376, ,0.1690634936094284, ,
12.0,0.2380693554878235, ,0.2412199229001999, ,0.1683422327041626, ,
13.0,0.2370750606060028, ,0.24055233597755432, ,0.1676831841468811, ,
14.0,0.23604166507720947, ,0.23992803692817688, ,0.16710127890110016, ,
15.0,0.23499484360218048, ,0.2392999231815338, ,0.16646894812583923, ,
16.0,0.23393216729164124, ,0.238747239112854, ,0.16581720113754272, ,
18.0,0.23194551467895508, ,0.2377014309167862, ,0.16477341949939728, ,
20.0,0.23003795742988586, ,0.23671945929527283, ,0.16389474272727966, ,
22.0,0.22813007235527039, ,0.23574498295783997, ,0.16312175989151, ,
24.0,0.22619779407978058, ,0.23483197391033173, ,0.16226035356521606, ,
26.0,0.22415512800216675, ,0.23390527069568634, ,0.16125576198101044, ,
28.0,0.2221311330795288, ,0.2329867035150528, ,0.1603306382894516, ,
30.0,0.21995586156845093, ,0.23202015459537506, ,0.15940378606319427, ,
32.0,0.21810388565063477, ,0.23119845986366272, ,0.15847815573215485, ,
36.0,0.21435247361660004, ,0.22929641604423523, ,0.15697427093982697, ,
40.0,0.2111455500125885, ,0.22714170813560486, ,0.15577448904514313, ,
44.0,0.20814822614192963, ,0.22485150396823883, ,0.15488705039024353, ,
48.0,0.20455363392829895, ,0.2228870391845703, ,0.15390333533287048, ,
52.0,0.2012183666229248, ,0.22126899659633636, ,0.15281569957733154, ,
56.0,0.19816401600837708, ,0.21983151137828827, ,0.15125411748886108, ,
60.0,0.19553375244140625, ,0.2183304727077484, ,0.1497131884098053, ,
64.0,0.19305917620658875, ,0.21681839227676392, ,0.14854329824447632, ,
72.0,0.18761402368545532, ,0.21389570832252502, ,0.14552123844623566, ,
80.0,0.18377293646335602, ,0.21050363779067993, ,0.14307600259780884, ,
88.0,0.1807176023721695, ,0.20680676400661469, ,0.14092381298542023, ,
96.0,0.17896169424057007, ,0.20274123549461365, ,0.1388235092163086, ,
104.0,0.17787720263004303, ,0.19863513112068176, ,0.1362934708595276, ,
112.0,0.1768094301223755, ,0.1951296627521515, ,0.13409312069416046, ,
120.0,0.1746162325143814, ,0.19159160554409027, ,0.13173462450504303, ,
128.0,0.17176726460456848, ,0.1875608265399933, ,0.1294766217470169, ,
144.0,0.1647767573595047, ,0.18132805824279785, ,0.12580014765262604, ,
160.0,0.16263505816459656, ,0.1753757745027542, ,0.1211632713675499, ,
176.0,0.16081857681274414, ,0.16854402422904968, ,0.11507626622915268, ,
192.0,0.1563800871372223, ,0.16210588812828064, ,0.11094128340482712, ,
208.0,0.1528453230857849, ,0.15651996433734894, ,0.10830899327993393, ,
224.0,0.1486036777496338, ,0.1520751565694809, ,0.10601145029067993, ,
240.0,0.1433832049369812, ,0.1487833857536316, ,0.10527100414037704, ,
256.0,0.13633552193641663, ,0.14652329683303833, ,0.10503312200307846, ,
288.0,0.12284641712903976, ,0.14116515219211578, ,0.10492495447397232, ,
320.0,0.11180751025676727, ,0.13728444278240204, ,0.1054292619228363, ,
352.0,0.10693053156137466, ,0.13446953892707825, ,0.1073148101568222, ,
384.0,0.10078094899654388, ,0.12771016359329224, ,0.10843347758054733, ,
416.0,0.0970635637640953, ,0.11973525583744049, ,0.10564678907394409, ,
448.0,0.09376803040504456, ,0.11142286658287048, ,0.1025252565741539, ,
480.0,0.09411561489105225, ,0.10372815281152725, ,0.0983554795384407, ,
512.0,0.09592945873737335, ,0.09955217689275742, ,0.0917930006980896, ,
576.0,0.1001545637845993, ,0.0931694358587265, ,0.07783643156290054, ,
640.0,0.10138464719057083, ,0.08802630752325058, ,0.062335409224033356, ,
704.0,0.1087602898478508, ,0.07909540832042694, ,0.050962187349796295, ,
768.0,0.11418192833662033, ,0.06767860800027847, ,0.04244781658053398, ,
832.0,0.1033790111541748, ,0.04757768288254738, ,0.04005799442529678, ,
896.0,0.0894777923822403, ,0.031373150646686554, ,0.03505682945251465, ,
960.0,0.08147789537906647, ,0.01469713356345892, ,0.029535280540585518, ,
1024.0,0.0810687318444252, ,-0.001171182724647224, ,0.01614568941295147, ,
1152.0,0.065579853951931, ,-0.011183517053723335, ,-0.006226877216249704, ,
1280.0,0.059560440480709076, ,0.00660469476133585, ,-0.008393291383981705, ,
1408.0,0.04425826296210289, ,0.002407744759693742, ,-0.004444636404514313, ,
1536.0,0.01672019064426422, ,-0.010176933370530605, ,-0.006329046096652746, ,
1664.0,-0.029691103845834732,0.25818365132755705,-0.004365126136690378,0.25194119798648706,-0.0062742228619754314,0.17877005820022396,
1792.0,-0.03958585485816002,0.254809898465174,0.0015795892104506493,0.25085165907109597,-0.0023591197095811367,0.1775931651525851,
1920.0,-0.04375709965825081,0.2517752916306908,0.0007770888623781502,0.24979611218328668,-0.0020206740591675043,0.1764826455005073,
2048.0,-0.0559469498693943,0.24902748593278567,-0.0038860952481627464,0.24877249970191462,-0.002588928211480379,0.17543199861590997,
2304.0,-0.07381518185138702,0.24652438859483594,-0.041114334017038345,0.247778928038612,-0.007328011095523834,0.17443554916447074,
2560.0,-0.0955996960401535,0.24423176616345021,-0.07348044216632843,0.24681365160839353,-0.02101072296500206,0.17348832015403826,
2816.0,-0.10436717420816422,0.24212149198827537,-0.0973125547170639,0.24587505864392023,-0.030844317749142647,0.1725859287177851,
3072.0,-0.1218293309211731,0.24017024262632247,-0.10243120789527893,0.2449616586106833,-0.03918386623263359,0.17172450001981926,
3328.0,-0.1616043597459793,0.23835851450183376,-0.13102425634860992,0.2440720710162151,-0.04544549435377121,0.17090059571023275,
3584.0,-0.14912156760692596,0.2366698726418418,-0.18549194931983948,0.24320501543643924,-0.05802658945322037,0.1701111541396082,
3840.0,-0.16647036373615265,0.23509037000556976,-0.24794846773147583,0.2423593026074693,-0.07070906460285187,0.16935344013813003,
4096.0,-0.1370004564523697, ,-0.2270365208387375, ,-0.08527781069278717, ,
