Time (ms),2022-05-17_multipletau_labthresh-0dot04_cutandshift_0dot069-0dot1_1642_correlation-CH1_1,2022-05-17_multipletau_labthresh-0dot04_cutandshift_0dot069-0dot1_1642_correlation-CH1_1 fitted model: ,
1.0,0.062424954026937485,0.06210571929480965,
2.0,0.06187700107693672,0.06167073226008356,
3.0,0.06135277450084686,0.061241109381832914,
4.0,0.060847196727991104,0.06081675204386393,
5.0,0.06035890057682991,0.06039756403257748,
6.0,0.059860825538635254,0.05998345146424368,
7.0,0.05939221382141113,0.05957432271490232,
8.0,0.058948125690221786,0.05917008835277915,
9.0,0.05851706117391586,0.05877066107311309,
10.0,0.05811089649796486,0.05837595563529488,
11.0,0.05771128460764885,0.057985888802221996,
12.0,0.057311881333589554,0.057600379281779066,
13.0,0.05691668763756752,0.057219347670357676,
14.0,0.05651083588600159,0.056842716398332785,
15.0,0.056121859699487686,0.05647040967741744,
16.0,0.055748362094163895,0.056102353449820425,
18.0,0.05499395728111267,0.05537870460289393,
20.0,0.05425995588302612,0.05467121017998612,
22.0,0.05357702821493149,0.05397933521569799,
24.0,0.052897121757268906,0.05330256810775488,
26.0,0.05224616825580597,0.05264041935538167,
28.0,0.051614027470350266,0.05199242037855876,
30.0,0.0510522834956646,0.05135812241217362,
32.0,0.050504934042692184,0.05073709546958315,
36.0,0.04940826818346977,0.04953322282898263,
40.0,0.0483890064060688,0.04837770265530694,
44.0,0.047398485243320465,0.047267679246588,
48.0,0.04647643119096756,0.04620051743666097,
52.0,0.04546177014708519,0.0451737817093938,
56.0,0.04449743777513504,0.044185217642370926,
60.0,0.043663010001182556,0.04323273538244934,
64.0,0.04280385375022888,0.04231439489827352,
72.0,0.041262540966272354,0.040573050472725025,
80.0,0.039838407188653946,0.038948192297418215,
88.0,0.038506876677274704,0.037428510242020485,
96.0,0.03722911700606346,0.03600411246979222,
104.0,0.03605523332953453,0.034666309877384574,
112.0,0.034770768135786057,0.033407438689301384,
120.0,0.03339797258377075,0.03222071355375619,
128.0,0.03214632719755173,0.03110010519222204,
144.0,0.029504621401429176,0.02903630353460445,
160.0,0.026822371408343315,0.027179410417034908,
176.0,0.024487329646945,0.02549979541373021,
192.0,0.02276030369102955,0.02397322798493936,
208.0,0.02170853689312935,0.02257970097616768,
224.0,0.02104545384645462,0.02130254886984309,
240.0,0.02058177813887596,0.020127778089791215,
256.0,0.020046494901180267,0.019043552155010694,
288.0,0.018843645229935646,0.01710785897633867,
320.0,0.018149688839912415,0.015430698357847866,
352.0,0.017038317397236824,0.013963517953105832,
384.0,0.014844534918665886,0.012669206683735407,
416.0,0.01212488766759634,0.011518912094178602,
448.0,0.009342527016997337,0.010489864104956528,
480.0,0.007384808734059334,0.009563852474626534,
512.0,0.005883046891540289,0.008726139802238683,
576.0,0.006426663137972355,0.007269491103044826,
640.0,0.008280187845230103,0.006046144505520958,
704.0,0.006946774199604988,0.005004206016825628,
768.0,0.0024729263968765736,0.004106109845373632,
832.0,-0.0009007464395835996,0.0033239925898651147,
896.0,-0.0007353108958341181,0.0026367508440839505,
960.0,0.001108924625441432,0.002028108359499037,
1024.0,0.0012985384091734886,0.0014853105069974684,
1152.0,-0.003371251281350851,0.0005586814776076948,
1280.0,-0.0055727241560816765,-0.00020311996571460624,
1408.0,-0.006143948063254356,-0.0008404808103079564,
1536.0,-0.008697988465428352,-0.001381589868086822,
1664.0,-0.008314933627843857,-0.0018467197554668116,
1792.0,-0.004362200386822224,-0.002250823454304723,
1920.0,-0.005823033861815929,-0.0026051717658400943,
2048.0,-0.00631759874522686,-0.0029184210045738682,
2304.0,-0.0075256312265992165,-0.0034472509644760483,
2560.0,-0.004850589204579592,-0.003876506546136111,
2816.0,-0.0029871370643377304,-0.004231891421193523,
3072.0,0.004843758884817362,-0.0045309634641737505,
3328.0,-0.0011915441136807203,-0.004786124736328756,
3584.0,0.002073370385915041,-0.005006384541649096,
3840.0,0.0052094836719334126,-0.005198445331030069,
4096.0,0.00310417334549129,-0.005367396625912825,
4608.0,0.00012006329779978842,-0.0056508626231921,
5120.0,-0.0087047778069973,-0.005879344887070538,
5632.0,-0.0032098586671054363,-0.006067426796627234,
6144.0,0.004857554100453854,-0.0062249533692013736,
6656.0,-0.005307675804942846,-0.006358811140163552,
7168.0,-0.012227741070091724,-0.00647396180900007,
7680.0,-0.019727975130081177,-0.006574070822670617,
8192.0,-0.004490390419960022, ,
