name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1)
clean,Not known,average_data,average_data,Mon May 30 11:34:02 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.000558,0.00016011927980418768,0.069829,0.0003318753009902132,14.320697704392158,1.0,0,0.039717,0.000794030678850661,1.0,0,5.0,0
0cd20,Not known,average_data,average_data,Mon May 30 11:34:02 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0005306796670738745,0.00015715662810653874,0.0697793876851722,0.00032612369006190155,14.33087955015827,1.0,0,0.03956515058911031,0.0007774702076140934,1.0,0,5.0,0
19e3e,Not known,average_data,average_data,Mon May 30 11:34:02 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0005932178847074532,0.0001589977453598225,0.06980387915936584,0.00032973059575783274,14.325851400277465,1.0,0,0.03964757775785394,0.0007876275435829996,1.0,0,5.0,0
34a6d,Not known,average_data,average_data,Mon May 30 11:34:02 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0005616792616507382,0.0001599211970977002,0.06982391879130598,0.00033150995445596843,14.321739846611324,1.0,0,0.039698644617594994,0.0007928110355108109,1.0,0,5.0,0
484af,Not known,average_data,average_data,Mon May 30 11:34:02 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0005028002842716317,0.0001623615905365069,0.06986360594882819,0.00033618602862769406,14.313604149382913,1.0,0,0.03984548419430061,0.0008068483686684515,1.0,0,5.0,0
714af,Not known,average_data,average_data,Mon May 30 11:34:02 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0005070952426716735,0.00016207517199980534,0.06985946223134258,0.00033563645936813413,14.314453161526744,1.0,0,0.03982885150879291,0.0008052006436625918,1.0,0,5.0,0
34766,Not known,average_data,average_data,Mon May 30 11:34:02 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.00031996102073050814,0.00011275717770999553,0.06811629771939975,0.00024325531939325487,14.680774403204191,1.0,0,0.03506356606922478,0.0005182838332262224,1.0,0,5.0,0
c1204,Not known,average_data,average_data,Mon May 30 11:34:02 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.000417690077422872,0.00012233969676742306,0.06557609965908072,0.00028098124316036584,15.249458342274615,1.0,0,0.029226790501427975,0.0005050681838679945,1.0,0,5.0,0
fe81d,Not known,average_data,average_data,Mon May 30 11:34:02 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0005131893224801232,0.00016194336647166115,0.06985696687009685,0.0003353879552592774,14.314964488217173,1.0,0,0.039819496473070516,0.0008044219399494329,1.0,0,5.0,0
ff67b,Not known,average_data,average_data,Mon May 30 11:34:02 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.000513079758074686,0.0001618785856725359,0.06985441561840511,0.0003352504085223901,14.315487305236605,1.0,0,0.03982079337037294,0.0008041503512435851,1.0,0,5.0,0
