Time (ms),2022-04-25_multipletau_0cd20_0dot1-0dot1_2311_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot1-0dot1_2311_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot1-0dot1_2345_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot1-0dot1_2345_correlation-CH1_1 fitted model: ,
1.0,0.06928065419197083, ,0.14333225786685944, ,
2.0,0.06873936206102371, ,0.14064230024814606, ,
3.0,0.0682210624217987, ,0.13794833421707153, ,
4.0,0.06772498041391373, ,0.13572916388511658, ,
5.0,0.06724287569522858, ,0.13348288834095, ,
6.0,0.06677094846963882, ,0.13108819723129272, ,
7.0,0.06630697846412659, ,0.12897785007953644, ,
8.0,0.06588688492774963, ,0.12693436443805695, ,
9.0,0.06548193842172623, ,0.12493812292814255, ,
10.0,0.06507621705532074, ,0.12309281527996063, ,
11.0,0.0646897554397583, ,0.12156236171722412, ,
12.0,0.0643150582909584, ,0.12027186155319214, ,
13.0,0.06396020948886871, ,0.11923780292272568, ,
14.0,0.06361931562423706, ,0.11799240112304688, ,
15.0,0.0632827952504158, ,0.11697409301996231, ,
16.0,0.06297892332077026, ,0.11581053584814072, ,
18.0,0.06238309293985367, ,0.11362378299236298, ,
20.0,0.06173275038599968, ,0.1114172488451004, ,
22.0,0.061053283512592316, ,0.10924512147903442, ,
24.0,0.06036345288157463, ,0.10698717087507248, ,
26.0,0.05974311754107475, ,0.10491929948329926, ,
28.0,0.05914933979511261, ,0.10264655202627182, ,
30.0,0.05854466184973717, ,0.10009255260229111, ,
32.0,0.057971980422735214, ,0.09785543382167816, ,
36.0,0.05688432604074478, ,0.0934479832649231, ,
40.0,0.055778928101062775, ,0.08905129134654999, ,
44.0,0.05468222498893738, ,0.08560892194509506, ,
48.0,0.05355389788746834, ,0.0821407213807106, ,
52.0,0.0524909645318985, ,0.07886975258588791, ,
56.0,0.05147121846675873, ,0.07657498121261597, ,
60.0,0.05052915960550308, ,0.07431694865226746, ,
64.0,0.049696531146764755, ,0.07208520919084549, ,
72.0,0.04796845465898514, ,0.06799343228340149, ,
80.0,0.04624409228563309, ,0.065256267786026, ,
88.0,0.04460930451750755, ,0.06355006247758865, ,
96.0,0.04281517118215561, ,0.06242287904024124, ,
104.0,0.04120996594429016, ,0.061636149883270264, ,
112.0,0.03963787481188774, ,0.06005547568202019, ,
120.0,0.038130734115839005, ,0.0586986169219017, ,
128.0,0.036560967564582825, ,0.057754404842853546, ,
144.0,0.03442526236176491, ,0.05424526706337929, ,
160.0,0.032805413007736206, ,0.04915726184844971, ,
176.0,0.03150979056954384, ,0.04466034844517708, ,
192.0,0.030265145003795624, ,0.04266994819045067, ,
208.0,0.029386674985289574, ,0.041655588895082474, ,
224.0,0.02882872335612774, ,0.04411759600043297, ,
240.0,0.028566842898726463, ,0.049679700285196304, ,
256.0,0.029173867776989937, ,0.05738114193081856, ,
288.0,0.029825478792190552, ,0.054849978536367416, ,
320.0,0.03011918067932129, ,0.04268921911716461, ,
352.0,0.029393857344985008, ,0.03470180556178093, ,
384.0,0.02673482708632946, ,0.027849465608596802, ,
416.0,0.024320093914866447, ,0.021601619198918343, ,
448.0,0.023014944046735764, ,0.014870041981339455, ,
480.0,0.021746668964624405, ,0.006061629392206669, ,
512.0,0.020978359505534172, ,0.00814168993383646, ,
576.0,0.02165387012064457,0.06996009657371838,0.003125167451798916,0.14412331507315101,
640.0,0.022974884137511253,0.06935800618010274,-0.005754322279244661,0.1410414100644981,
704.0,0.02181207202374935,0.06877184465135301,-0.010080559179186821,0.13822995675274216,
768.0,0.020659586414694786,0.06820092472733505,-0.018121318891644478,0.13564562035558897,
832.0,0.019727185368537903,0.06764459859024813,-0.016392217949032784,0.13325418414796225,
896.0,0.018129665404558182,0.06710225507122965,-0.022071322426199913,0.13102825965918727,
960.0,0.016695940867066383,0.06657331709108381,-0.024388635531067848,0.12894565437334246,
1024.0,0.014782702550292015,0.06605723931255642,-0.026298345997929573,0.12698818670664314,
1152.0,0.009666654281318188,0.06555350598403192,-0.011093624867498875,0.12514081150013087,
1280.0,0.009542715735733509,0.0650616289566875,-0.003976698964834213,0.12339096505757588,
1408.0,0.00577927241101861,0.06458114585904037,0.0022726787719875574,0.12172806799414165,
1536.0,0.0007054105517454445,0.06411161841450284,0.009423619136214256,0.12014314323508044,
1664.0,0.004954083357006311,0.06365263088904215,0.006680565420538187,0.11862851919419345,
1792.0,0.005025602877140045,0.06320378865735649,0.009361066855490208,0.11717759675751127,
1920.0,0.0018027841579169035,0.06276471687714298,0.011790568940341473,0.11578466461583475,
2048.0,-0.002119784476235509,0.06233505926206859,0.004946168977767229,0.11444475162615085,
2304.0,-0.003799583064392209,0.06150264742366916,-0.0003946225915569812,0.11190710772709787,
2560.0,-0.008839956484735012,0.060704032782651046,0.00043321261182427406,0.10953569926743137,
2816.0,-0.014553755521774292,0.05993692712659539,-0.0015247731935232878,0.10730773687899615,
