Time (ms),average_data,average_data fitted model: ,
1.0,0.03828564703792006, ,
2.0,0.037686458676234706, ,
3.0,0.03710856241593649, ,
4.0,0.0365491979192574, ,
5.0,0.036011646020707194, ,
6.0,0.035490248434163714, ,
7.0,0.0349864294895759, ,
8.0,0.03449850238777779, ,
9.0,0.034023875841400125, ,
10.0,0.033562612013666185, ,
11.0,0.03311468662878314, ,
12.0,0.03267836353772289, ,
13.0,0.032255701311342005, ,
14.0,0.03184454329311848, ,
15.0,0.03144853142509749, ,
16.0,0.031063084337082537, ,
18.0,0.03031594781102715, ,
20.0,0.029610796289129573, ,
22.0,0.02894139216168896, ,
24.0,0.028302094377167932, ,
26.0,0.027689898611752542, ,
28.0,0.027105590492323205, ,
30.0,0.02654509742713564, ,
32.0,0.0260106854058884, ,
36.0,0.024993061865833433, ,
40.0,0.024059531473360218, ,
44.0,0.023195951972361448, ,
48.0,0.022393756249285007, ,
52.0,0.021645833477173207, ,
56.0,0.020946747418697717, ,
60.0,0.020286522273506438, ,
64.0,0.019664206449965853, ,
72.0,0.018495822514683662, ,
80.0,0.01748297282668588, ,
88.0,0.016575710640728963, ,
96.0,0.01575338540107503, ,
104.0,0.015014218208687072, ,
112.0,0.014345231768547219, ,
120.0,0.013736271487477306, ,
128.0,0.013168482787927592, ,
144.0,0.012135776252342531, ,
160.0,0.01124908422007338, ,
176.0,0.010497414031076235, ,
192.0,0.009835734906408726, ,
208.0,0.009217863260926027, ,
224.0,0.008641071417234624, ,
240.0,0.008131240849871864, ,
256.0,0.0077034661285374515, ,
288.0,0.0069651210523571224, ,
320.0,0.006341868964667371, ,
352.0,0.005857411379150977, ,
384.0,0.0053750555931941025, ,
416.0,0.004843107948129738, ,
448.0,0.004432421466425205, ,
480.0,0.004124708575243478, ,
512.0,0.0038438020929678824, ,
576.0,0.003098504079932834, ,
640.0,0.002382823673502611, ,
704.0,0.001559175020802186, ,
768.0,0.0010267520278780516, ,
832.0,0.001075988164932194, ,
896.0,0.0009334417918980362, ,
960.0,0.0004883165719757716, ,
1024.0,6.95664813455161e-05, ,
1152.0,7.009520643575572e-05, ,
1280.0,6.169002223871827e-05, ,
1408.0,-5.509103033506148e-05,0.03833233746941683,
1536.0,-0.0003199738023865323,0.03772159690057114,
1664.0,-0.0004972192608885042,0.037133329187561404,
1792.0,-0.0004659151713595138,0.036566171485922436,
1920.0,-0.0005118433802516058,0.03601887410399799,
2048.0,-0.0005601333551007534,0.03549028879661881,
2304.0,-0.000446582306122454,0.034979358491625485,
2560.0,-0.00033772010311412695,0.03448510824826077,
2816.0,-0.000675189229985955,0.034006637278065244,
3072.0,-0.0009084024831091672,0.03354311188503375,
3328.0,-0.0011390767380922066,0.033093759203464045,
3584.0,-0.0009368259792106803,0.03265786162998119,
3840.0,-0.0007469497449474747,0.03223475186131144,
4096.0,-0.0009312047063408849, ,
4608.0,-0.0012622107541983996, ,
5120.0,-0.0011035334389836841, ,
5632.0,-0.0015767967885079958, ,
6144.0,-0.0017209178376116133, ,
6656.0,-0.0010718207002475418, ,
7168.0,-0.0008409346845547879, ,
7680.0,-0.0024567506655900047, ,
8192.0,-0.002546607888339517, ,
