$D$ in $\frac{{\mu m^2}}{{s}}$,$\tau_{{D}}$ in $ms$,Trace lengths,folder_id-traces_used,Photon count bin for correlation in $ns$
19.078159390560696,0.5907831450722446,8192.0,0-orig,100000.0
20.314896646920424,0.5548172458289926,8192.0,0-orig,100000.0
21.007771994986037,0.5365183423370699,8192.0,0-orig,100000.0
22.716317488074434,0.4961655872639605,8192.0,0-orig,100000.0
24.089236327596915,0.4678876014858459,8192.0,0-orig,100000.0
20.491096978224558,0.5500464430441441,8192.0,0-orig,100000.0
22.83067866450068,0.49368024370078584,8192.0,0-orig,100000.0
20.834882684606267,0.5409704089801561,8192.0,0-orig,100000.0
21.13444269464667,0.5333026836709526,8192.0,0-orig,100000.0
27.89148961932345,0.40410373059230037,8192.0,0-orig,100000.0
21.56193961183018,0.5227291797423014,8192.0,0-orig,100000.0
20.217999650647794,0.5574762687555935,8192.0,0-orig,100000.0
24.241762356118205,0.46494371330640516,8192.0,0-orig,100000.0
23.057964739402536,0.48881395796761357,8192.0,0-orig,100000.0
24.332608110630076,0.4632078466763738,8192.0,0-orig,100000.0
23.44716986127352,0.480700019389583,8192.0,0-orig,100000.0
22.93184068282121,0.4915024119886043,8192.0,0-orig,100000.0
22.17236737827323,0.5083379151470117,8192.0,0-orig,100000.0
20.719631493340607,0.5439795109564377,8192.0,0-orig,100000.0
24.174072280742184,0.4662456071136967,8192.0,0-orig,100000.0
21.284479241216427,0.5295433766177912,8192.0,0-orig,100000.0
23.05642562550477,0.48884658836611294,8192.0,0-orig,100000.0
21.4634016939021,0.5251290157863099,8192.0,0-orig,100000.0
24.55934038238931,0.4589315035116794,8192.0,0-orig,100000.0
25.738919837660173,0.43789930105977737,8192.0,0-orig,100000.0
22.85945859618859,0.49305870300989,8192.0,0-orig,100000.0
21.695781512277204,0.5195044483908987,8192.0,0-orig,100000.0
24.52183981827387,0.45963333463037087,8192.0,0-orig,100000.0
22.275733658759474,0.5059790703015933,8192.0,0-orig,100000.0
23.441620562333206,0.48081381476909246,8192.0,0-orig,100000.0
22.663008216945556,0.49733269736527946,8192.0,0-orig,100000.0
20.68217184155988,0.5449647693331876,8192.0,0-orig,100000.0
24.850542821804314,0.45355367437107247,8192.0,0-orig,100000.0
20.445987611942012,0.5512599939345495,8192.0,0-orig,100000.0
22.312774062735308,0.5051391178548651,8192.0,0-orig,100000.0
21.62246935547675,0.5212658564406838,8192.0,0-orig,100000.0
23.848049549967538,0.4726195734929765,8192.0,0-orig,100000.0
20.227040716230075,0.557227088483645,8192.0,0-orig,100000.0
23.461553141015074,0.4804053226655812,8192.0,0-orig,100000.0
20.932412735639804,0.5384498743307683,8192.0,0-orig,100000.0
23.576683365600253,0.47805939589408697,8192.0,0-orig,100000.0
