Simulated $D$,Simulated $D_{{clust}}$,nmol,$D$ in $\frac{{\mu m^2}}{{s}}$,$	au_{{D}}$ in $ms$,Trace lengths,Traces used
3.0,1.0,2422.0,1.2601464361132166,8.944242259422928,16384,corrupted without correction
3.0,1.0,2422.0,1.1564345373441163,9.746383943902513,16384,corrupted without correction
3.0,1.0,2422.0,1.7162058489860745,6.56742605416705,16384,corrupted without correction
3.0,1.0,2422.0,0.9996726572839811,11.274745712829088,16384,corrupted without correction
3.0,1.0,2422.0,1.0403719260863984,10.833678537774206,16384,corrupted without correction
3.0,1.0,2422.0,0.7370149493755385,15.29284448910408,16384,corrupted without correction
3.0,1.0,2422.0,1.885904949720535,5.976470345769676,16384,corrupted without correction
3.0,1.0,2422.0,1.5725393794360039,7.167423057467359,16384,corrupted without correction
3.0,1.0,2422.0,0.9750897280419051,11.558992657607657,16384,corrupted without correction
3.0,1.0,2422.0,1.1006438283688518,10.240419940071504,16384,corrupted without correction
3.0,1.0,2422.0,0.9366761096600921,12.033033500806539,16384,corrupted without correction
3.0,1.0,2422.0,1.6813687709615015,6.703499673364102,16384,corrupted without correction
3.0,1.0,2422.0,1.0333553971842588,10.90723969474296,16384,corrupted without correction
3.0,1.0,2422.0,1.4238276282714666,7.916024933880614,16384,corrupted without correction
3.0,1.0,2422.0,1.238209456942348,9.102704670644277,16384,corrupted without correction
3.0,1.0,2422.0,1.172851766695676,9.609956967281073,16384,corrupted without correction
3.0,1.0,2422.0,1.0092338363807152,11.167932148772334,16384,corrupted without correction
3.0,1.0,2422.0,1.0011209164291683,11.258435241915635,16384,corrupted without correction
3.0,1.0,2422.0,1.1640863161659314,9.682318957298374,16384,corrupted without correction
3.0,1.0,2422.0,0.9915860626327792,11.366693655434238,16384,corrupted without correction
3.0,1.0,2422.0,1.1821260240705151,9.534562963206278,16384,corrupted without correction
3.0,1.0,2422.0,1.230557044078292,9.159311273852596,16384,corrupted without correction
3.0,1.0,2422.0,1.044440434088327,10.791477081010678,16384,corrupted without correction
3.0,1.0,2422.0,0.9751435230488154,11.558354991381922,16384,corrupted without correction
3.0,1.0,2422.0,1.775770067639797,6.347136497196147,16384,corrupted without correction
3.0,1.0,2422.0,1.8726489195102045,6.018776338435607,16384,corrupted without correction
3.0,1.0,2422.0,0.9960565328696319,11.31567801124018,16384,corrupted without correction
3.0,1.0,2422.0,0.8277506941288799,13.616485116701257,16384,corrupted without correction
3.0,1.0,2422.0,1.0762773621093609,10.472258735290366,16384,corrupted without correction
3.0,1.0,2422.0,1.1685725145349226,9.645148133088487,16384,corrupted without correction
3.0,1.0,2422.0,0.9979650387714155,11.294037936259478,16384,corrupted without correction
3.0,1.0,2422.0,1.5561407721014753,7.242953342662013,16384,corrupted without correction
3.0,1.0,2422.0,1.0933152249407359,10.309062519051615,16384,corrupted without correction
3.0,1.0,2422.0,1.434607610005359,7.856542045600137,16384,corrupted without correction
3.0,1.0,2422.0,0.7909008123640761,14.250908370235196,16384,corrupted without correction
3.0,1.0,2422.0,1.018165362518996,11.069965078226419,16384,corrupted without correction
3.0,1.0,2422.0,0.8472868429839691,13.302525703397803,16384,corrupted without correction
3.0,1.0,2422.0,1.207402572420808,9.334960239770636,16384,corrupted without correction
3.0,1.0,2422.0,0.8642112883457627,13.042013173097533,16384,corrupted without correction
3.0,1.0,2422.0,1.0775823979592956,10.459576017843212,16384,corrupted without correction
3.0,1.0,2422.0,1.3478796176541137,8.362063539889027,16384,corrupted without correction
3.0,1.0,2422.0,1.623026181782594,6.944469000842524,16384,corrupted without correction
3.0,1.0,2422.0,1.1954283248147357,9.42846574150883,16384,corrupted without correction
3.0,1.0,2422.0,1.8391306935162073,6.128468763356921,16384,corrupted without correction
3.0,1.0,2422.0,0.8566413522777457,13.157262344359314,16384,corrupted without correction
3.0,1.0,2422.0,1.671109648675103,6.744653180526484,16384,corrupted without correction
3.0,1.0,2422.0,1.1538291146751176,9.768391925279685,16384,corrupted without correction
3.0,1.0,2422.0,0.8736596760925535,12.90096740798988,16384,corrupted without correction
3.0,1.0,2422.0,1.0817886680860513,10.41890651977921,16384,corrupted without correction
3.0,1.0,2422.0,1.8497330770909675,6.093341329372103,16384,corrupted without correction
3.0,1.0,2422.0,0.9925955494054263,11.355133532178833,16384,corrupted without correction
3.0,1.0,2422.0,1.028742551224833,10.956147379658377,16384,corrupted without correction
3.0,1.0,2422.0,1.2258946271829294,9.194146672170012,16384,corrupted without correction
3.0,1.0,2422.0,1.1759068076496517,9.5849900124935,16384,corrupted without correction
3.0,1.0,2422.0,0.9940690724892126,11.338301652139306,16384,corrupted without correction
3.0,1.0,2422.0,1.0363818705215795,10.875388047141975,16384,corrupted without correction
3.0,1.0,2422.0,1.3144603320364834,8.574663481463048,16384,corrupted without correction
3.0,1.0,2422.0,1.308312965679921,8.614953228020283,16384,corrupted without correction
3.0,1.0,2422.0,1.356929127794662,8.306296015078706,16384,corrupted without correction
3.0,1.0,2422.0,1.4680925325378886,7.677346459531932,16384,corrupted without correction
3.0,1.0,2422.0,1.3770436335009804,8.184965772137243,16384,corrupted without correction
3.0,1.0,2422.0,1.4236227396608914,7.917164212781405,16384,corrupted without correction
3.0,1.0,2422.0,1.3947346126864655,8.0811466958831,16384,corrupted without correction
3.0,1.0,2422.0,1.9510463986495474,5.776928224129623,16384,corrupted without correction
3.0,1.0,2422.0,1.732914511873353,6.504103306723738,16384,corrupted without correction
3.0,1.0,2422.0,1.0079902256330744,11.18171061615818,16384,corrupted without correction
3.0,1.0,2422.0,1.2467838122063528,9.040103742604236,16384,corrupted without correction
3.0,1.0,2422.0,1.4746619823943492,7.643144762330326,16384,corrupted without correction
3.0,1.0,2422.0,0.9913256797215759,11.369679246189426,16384,corrupted without correction
3.0,1.0,2422.0,0.7131866967630639,15.803793113501548,16384,corrupted without correction
3.0,1.0,2422.0,1.5611215869914752,7.219844438040287,16384,corrupted without correction
3.0,1.0,2422.0,1.533027087678729,7.352156460595471,16384,corrupted without correction
3.0,1.0,2422.0,1.2123685827229487,9.296723098540319,16384,corrupted without correction
3.0,1.0,2422.0,1.2627155176967761,8.926044583267421,16384,corrupted without correction
3.0,1.0,2422.0,1.569065096255287,7.183293436227981,16384,corrupted without correction
3.0,1.0,2422.0,1.1094443354691528,10.159189286570934,16384,corrupted without correction
3.0,1.0,2422.0,1.1166235445136208,10.0938718893434,16384,corrupted without correction
3.0,1.0,2422.0,1.1259148912440062,10.010574595466812,16384,corrupted without correction
3.0,1.0,2422.0,1.067021165800327,10.563103496162693,16384,corrupted without correction
3.0,1.0,2422.0,1.1374206091441812,9.909311398380238,16384,corrupted without correction
3.0,1.0,2422.0,1.4532564962619408,7.755723119722072,16384,corrupted without correction
3.0,1.0,2422.0,1.0340109856089772,10.900324236213969,16384,corrupted without correction
3.0,1.0,2422.0,0.8644831373157623,13.03791192728395,16384,corrupted without correction
3.0,1.0,2422.0,1.8946883275754958,5.948764682246093,16384,corrupted without correction
3.0,1.0,2422.0,1.5385770137441348,7.325635900095023,16384,corrupted without correction
3.0,1.0,2422.0,1.1635637829086227,9.686667093375979,16384,corrupted without correction
3.0,1.0,2422.0,1.000849878158506,11.26148411756115,16384,corrupted without correction
3.0,1.0,2422.0,1.2275808386143197,9.18151754443127,16384,corrupted without correction
3.0,1.0,2422.0,1.3937622891654404,8.086784306450083,16384,corrupted without correction
3.0,1.0,2422.0,0.8394359160283908,13.426939200161438,16384,corrupted without correction
3.0,1.0,2422.0,1.327459735211251,8.490694450443243,16384,corrupted without correction
3.0,1.0,2422.0,1.3174972026506546,8.554898624656618,16384,corrupted without correction
3.0,1.0,2422.0,1.1012116170501907,10.235139942617694,16384,corrupted without correction
3.0,1.0,2422.0,1.5764559873425463,7.149616035868404,16384,corrupted without correction
3.0,1.0,2422.0,1.2978296019789586,8.684541475829091,16384,corrupted without correction
3.0,1.0,2422.0,1.6421085920851715,6.8637695833701775,16384,corrupted without correction
3.0,1.0,2422.0,1.1940081911272575,9.439679803456018,16384,corrupted without correction
3.0,1.0,2422.0,1.3533548367545662,8.328233439482698,16384,corrupted without correction
3.0,1.0,2422.0,1.3259326634489383,8.500473151952844,16384,corrupted without correction
3.0,1.0,2422.0,1.8383191215548287,6.131174329194868,16384,corrupted without correction
0.08,0.1,856.0,0.1272234670544502,88.59257861697121,16384,corrupted without correction
0.08,0.1,856.0,0.1302814129889522,86.51314679785371,16384,corrupted without correction
0.08,0.1,856.0,0.102904292461367,109.52949325390368,16384,corrupted without correction
0.08,0.1,856.0,0.014834929242574535,759.7646623482639,16384,corrupted without correction
0.08,0.1,856.0,0.13355373336881973,84.39341022252873,16384,corrupted without correction
0.08,0.1,856.0,0.10884147993310918,103.55477538408968,16384,corrupted without correction
0.08,0.1,856.0,0.050649342937139664,222.53111991864156,16384,corrupted without correction
0.08,0.1,856.0,0.05351582329592481,210.611634331398,16384,corrupted without correction
0.08,0.1,856.0,0.14642317843099967,76.97589362367509,16384,corrupted without correction
0.08,0.1,856.0,0.04019068858380907,280.43946008642416,16384,corrupted without correction
0.08,0.1,856.0,0.0445084957364693,253.23378875080178,16384,corrupted without correction
0.08,0.1,856.0,0.10162222913509042,110.91131441293194,16384,corrupted without correction
0.08,0.1,856.0,0.1158010220967213,97.33122215044892,16384,corrupted without correction
0.08,0.1,856.0,0.09595119147157588,117.4665455851469,16384,corrupted without correction
0.08,0.1,856.0,0.13807988094473156,81.62706202981467,16384,corrupted without correction
0.08,0.1,856.0,0.15290623972263695,73.71219792854802,16384,corrupted without correction
0.08,0.1,856.0,0.10564003341891358,106.69302765410788,16384,corrupted without correction
0.08,0.1,856.0,0.1416057459104274,79.59461626701592,16384,corrupted without correction
0.08,0.1,856.0,0.10137212213924743,111.18495666355695,16384,corrupted without correction
0.08,0.1,856.0,0.11511345047224897,97.91258068197861,16384,corrupted without correction
0.08,0.1,856.0,0.22651198655160584,49.759198965734036,16384,corrupted without correction
0.08,0.1,856.0,0.040076789856586484,281.2364724639408,16384,corrupted without correction
0.08,0.1,856.0,0.19771930410669555,57.00533419267352,16384,corrupted without correction
0.08,0.1,856.0,0.09347821904791279,120.57413076267515,16384,corrupted without correction
0.08,0.1,856.0,0.031121285588083594,362.16546951584604,16384,corrupted without correction
0.08,0.1,856.0,0.22731189138701632,49.58409759459162,16384,corrupted without correction
