Time (ms),2022-02-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000015_T309s_1_correlation-CH2_2,2022-02-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000015_T309s_1_correlation-CH2_2 fitted model: ,2022-02-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000016_T331s_1_correlation-CH2_2,2022-02-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000016_T331s_1_correlation-CH2_2 fitted model: ,2022-02-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000017_T353s_1_correlation-CH2_2,2022-02-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000017_T353s_1_correlation-CH2_2 fitted model: ,
0.000001,-1, ,-1, ,-1, ,
0.000002,-1, ,-1, ,-1, ,
0.000003,-1, ,-1, ,-1, ,
0.000004,-1, ,-1, ,-1, ,
0.000005,-1, ,-1, ,-1, ,
0.000006,-1, ,-1, ,-1, ,
0.000008,-1, ,-1, ,-1, ,
0.00001,-1, ,-1, ,-1, ,
0.000012,-1, ,-1, ,-1, ,
0.000014,-1, ,-1, ,-1, ,
0.000016,-1, ,-1, ,-1, ,
0.000018,-1, ,-1, ,-1, ,
0.000022,-1, ,-1, ,-1, ,
0.000026,-1, ,-1, ,-1, ,
0.00003,-1, ,-1, ,-1, ,
0.000034,-1, ,-1, ,-1, ,
0.000038,-1, ,-1, ,-1, ,
0.000042,-1, ,-1, ,-1, ,
0.00005,-1, ,-1, ,-1, ,
0.000058,-1, ,-1, ,-1, ,
0.000066,-1, ,-1, ,-1, ,
0.000074,4.0311919022581, ,2.7329042710288904, ,3.1184847313966007, ,
0.000082,1.9706786369436853, ,1.7433088445715823, ,1.5188413874558933, ,
0.00009,-1, ,-1, ,-1, ,
0.000106,1.502954769449722, ,1.4238824751671308, ,1.45915320587001, ,
0.000122,2.893485200036586, ,2.9896980307924563, ,2.9274825503809856, ,
0.000138,1.610404852112858, ,1.4677253145836562, ,1.393496206630263, ,
0.000154,0.5232628810229687, ,0.8727154052050683, ,0.7011132654247942, ,
0.00017,2.4384025225702106, ,2.150420901577709, ,2.5395093586102173, ,
0.000186,0.6433541481313312, ,0.5846053454012121, ,0.7548326345091017, ,
0.000218,1.1584824710953097, ,1.226589728029487, ,1.2114472521288708, ,
0.00025,0.7887277900361229, ,0.9228215122328007, ,0.82347405291856, ,
0.000282,0.7318424567281903, ,0.9259531464417605, ,0.8294428743494959, ,
0.000314,0.8582543178567472, ,0.8351358465376542, ,0.8204896494922196, ,
0.000346,1.0257500334217773, ,0.9791908820264481, ,1.0443203473728344, ,
0.000378,0.6496747568456764, ,0.7474501802813154, ,0.6026277785338594, ,
0.000442,0.7934682519267013, ,0.7897272064991563, ,0.7697547033737953, ,
0.000506,0.6939189182535268, ,0.7678057940538199, ,0.5981511748555175, ,
0.00057,0.8361322661467179, ,0.8711496285690419, ,0.8234740820941724, ,
0.000634,0.8076896034368115, ,0.6660277917727133, ,0.7279729900344711, ,
0.000698,0.7381630857898391, ,0.8523598533590939, ,0.8010910238736926, ,
0.000762,0.7918881323573996, ,0.7145680861529324, ,0.7399106384067631, ,
0.00089,0.7239417680014413, ,0.6840346926568688, ,0.7167814770997456, ,
0.001018,0.6591556993459495, ,0.6918637815539368, ,0.6936523154966747, ,
0.001146,0.7342127539867798, ,0.7223971972421372, ,0.6690309489047428, ,
0.001274,0.7215715786432306, ,0.6832518171686073, ,0.6429173772953001, ,
0.001402,0.6923388458258561, ,0.7278775740776129, ,0.7660242765423373, ,
0.00153,0.7081403399122848, ,0.7208314146484605, ,0.7324496816121109, ,
0.001786,0.6405890199949025, ,0.6488039152129528, ,0.6832069473490854, ,
0.002042,0.6714019341314019,0.6680420459044496,0.718874189072028,0.6878576748080325,0.6940254534016765,0.6656133302766875,
0.002298,0.6741672152012887,0.6664620898052208,0.6942126134200055,0.6857422713022258,0.6835800416339175,0.6637204951301255,
0.002554,0.6951042030161083,0.6649255709310199,0.6965613587222066,0.6836968396699551,0.6604508888169596,0.6618858389407912,
0.00281,0.6595508851133558,0.663427619014739,0.7118280841386349,0.6817131958640008,0.6578395516410755,0.6601026952985175,
0.003066,0.6204422322949128,0.6619643205669744,0.7173084612947949,0.6797847890554347,0.6962638473899616,0.6583657176890558,
0.003578,0.6658715427896817,0.6591293752442434,0.6775759287175629,0.6760731700154752,0.6468346043545221,0.6550134795881235,
0.00409,0.6571807685331916,0.656400744318308,0.6791417875281405,0.6725287831614958,0.6591453370413294,0.6518019190303981,
0.004602,0.6753525194920624,0.6537638114852674,0.6444981536289178,0.6691274956684662,0.6621297894168199,0.6487112003146815,
0.005114,0.6710071537072604,0.6512074391524185,0.6701384318198103,0.665851013482008,0.6606376269785317,0.6457262460601209,
0.005626,0.6520454126952588,0.648722866883572,0.6701384745756431,0.6626850146778809,0.6320992483483583,0.642835223338591,
0.006138,0.6307134476779972,0.6463030284985418,0.6421495558902035,0.6596179971222561,0.6313531875975196,0.6400286071593156,
0.007162,0.6392068308122758,0.6416352305981473,0.645183408671997,0.6537447458019513,0.6242652967000117,0.6346385726532443,
0.008186,0.6220227959807338,0.6371676469995862,0.624240701431227,0.6481725506133802,0.6095298533341253,0.6295072884480335,
0.00921,0.6270596037503204,0.6328734883230235,0.6380395404299839,0.6428585032494321,0.6353637399025913,0.6245989154172128,
0.010234,0.6305162630224517,0.6287322149535985,0.6312870413087952,0.6377699169902918,0.6076647614366366,0.6198860583945055,
0.011258,0.6238007128550855,0.6247275776849476,0.6187605934269726,0.6328810883772862,0.6144730311023503,0.6153471062020086,
0.012282,0.6356519148066901,0.6208463987374557,0.6126931373484823,0.6281712911291338,0.5927428708250821,0.6109645800940384,
0.01433,0.6027652242249666,0.6134125298032708,0.5913101186437091,0.6192233449003651,0.582903802742996,0.602613425078062,
0.016378,0.6067651417671205,0.6063619433539522,0.6001180012435015,0.6108194294319115,0.5865878479736437,0.5947420688321333,
0.018426,0.5939759699861036,0.5996436650654305,0.5958121683832878,0.6028811561757995,0.5716659506197963,0.5872836375314814,
