Time (ms),2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000015_T309s_1_correlation-CH2_2,2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000015_T309s_1_correlation-CH2_2 fitted model: ,2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000016_T331s_1_correlation-CH2_2,2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000016_T331s_1_correlation-CH2_2 fitted model: ,2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000017_T353s_1_correlation-CH2_2,2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000017_T353s_1_correlation-CH2_2 fitted model: ,
0.001,0.7492619656606836, ,0.7385955499807406, ,0.7234656122404999, ,
0.002,0.6781627802708982,0.6355973949285172,0.6901898566624399,0.643047436698288,0.6842112651821706,0.6267091779836539,
0.003,0.6654195263015148,0.6331579271943132,0.704621349047279,0.6403081331192852,0.6742804642681856,0.6240617264402114,
0.004,0.6612729002139508,0.6307369545642582,0.6576187125252613,0.6375918317455512,0.6553695994242217,0.6214363040910519,
0.005,0.6733081646972318,0.6283342676192594,0.6671394828035162,0.6348982442271713,0.648397400304455,0.61883263727905,
0.006,0.6293136300450747,0.6259496600899291,0.6598234923194454,0.6322270870136583,0.6406611257218443,0.6162504568609658,
0.007,0.6626887650051598,0.623582928797593,0.64018058566071,0.6295780812545126,0.6234716100079256,0.6136894981147585,
0.008,0.6123226048909871,0.6212338735966159,0.6336663437350004,0.6269509527022425,0.6254772876408102,0.6111495006491742,
0.009000000000000001,0.623346500944926,0.6189022973180164,0.6280540706706961,0.6243454316177777,0.6215657558317642,0.6086302083155437,
0.01,0.6277965032448813,0.6165880057143354,0.6356706838952578,0.621761252678204,0.6146890626433832,0.6061313691217265,
0.011,0.6451920226621328,0.614290807405723,0.6256487811993866,0.619198154886756,0.6338864266618948,0.6036527351481422,
0.012,0.6136373064543553,0.6120105138272165,0.6235441666351615,0.6166558814850008,0.6027525376560916,0.6011940624658272,
0.013000000000000001,0.6262793945247838,0.6097469391771774,0.6055047539461134,0.6141341798671541,0.5773470229444796,0.5987551110564648,
0.014,0.611513393668485,0.6074999003668573,0.6035003570239823,0.6116328014964643,0.6099157017221617,0.5963356447343285,
