Time (ms),2022-05-17_multipletau_labthresh-0dot04_delete_0dot2-0dot1_0304_correlation-CH1_1,2022-05-17_multipletau_labthresh-0dot04_delete_0dot2-0dot1_0304_correlation-CH1_1 fitted model: ,
1.0,0.18094129860401154,0.17451289365558575,
2.0,0.1753266453742981,0.17209612054157727,
3.0,0.1710907369852066,0.16974139786237313,
4.0,0.16823792457580566,0.16744636619783032,
5.0,0.1651139110326767,0.16520878425081292,
6.0,0.16225743293762207,0.16302652154636968,
7.0,0.15972661972045898,0.16089755166578984,
8.0,0.1575295627117157,0.15881994597037052,
9.0,0.15501578152179718,0.15679186777403656,
10.0,0.15347038209438324,0.15481156692780387,
11.0,0.15172132849693298,0.1528773747825232,
12.0,0.1493140310049057,0.15098769949943303,
13.0,0.14688530564308167,0.14914102168082166,
14.0,0.14503337442874908,0.14733589029559235,
15.0,0.14366397261619568,0.14557091887676893,
16.0,0.142168790102005,0.14384478196999878,
18.0,0.13830223679542542,0.14050399523502535,
20.0,0.13521942496299744,0.13730402579647533,
22.0,0.1333804428577423,0.13423615405223954,
24.0,0.13063852488994598,0.13129236574796452,
26.0,0.12744635343551636,0.12846528206938823,
28.0,0.12463167309761047,0.12574809788740623,
30.0,0.12302614748477936,0.12313452706777087,
32.0,0.12090222537517548,0.12061875392018881,
36.0,0.11649657785892487,0.11585943556969763,
40.0,0.11087724566459656,0.11143149687288889,
44.0,0.10614018142223358,0.10730149246147469,
48.0,0.10195933282375336,0.10344033122843,
52.0,0.09881389141082764,0.0998225900612847,
56.0,0.09625768661499023,0.09642595340254582,
60.0,0.09357165545225143,0.0932307525198553,
64.0,0.09101418405771255,0.09021958438558345,
72.0,0.08642742782831192,0.08468921192439466,
80.0,0.08208047598600388,0.0797300960213228,
88.0,0.07799749076366425,0.07525807212676598,
96.0,0.0756959468126297,0.07120473526967704,
104.0,0.07444971799850464,0.06751391633752939,
112.0,0.07342086732387543,0.06413906333876225,
120.0,0.06973616033792496,0.06104126761802732,
128.0,0.06599485129117966,0.05818775701595327,
144.0,0.05979195609688759,0.05310645692047265,
160.0,0.05478931590914726,0.04871738177431009,
176.0,0.04879795387387276,0.04488809958314073,
192.0,0.04405850172042847,0.041517934595090594,
208.0,0.04064381122589111,0.03852898700441553,
224.0,0.037139877676963806,0.035860036954064804,
240.0,0.03198080509901047,0.03346230697338007,
256.0,0.028637781739234924,0.031296453819238325,
288.0,0.024718880653381348,0.02753769760534934,
320.0,0.017853718250989914,0.024388113816798895,
352.0,0.014113230630755424,0.021710712629138276,
384.0,0.014115653932094574,0.019406714743089276,
416.0,0.010807688347995281,0.017403097278442164,
448.0,0.0048215193673968315,0.015644712629957723,
480.0,-0.00031196800409816206,0.014089134278925254,
512.0,-0.004063196945935488,0.012703188767855797,
576.0,-0.004034322686493397,0.010340120516465962,
640.0,-0.00397327309474349,0.008400151973506381,
704.0,0.002133286092430353,0.006778988042035857,
768.0,0.009246938861906528,0.005404009551146997,
832.0,0.010108337737619877,0.004223096357488319,
896.0,0.00733040738850832,0.003197871027718799,
960.0,0.0060746739618480206,0.0022994494620355212,
1024.0,0.0019761386793106794,0.0015056764252781418,
1152.0,-0.007545252796262503,0.00016656916290170784,
1280.0,-0.014462624676525593,-0.0009195214901945373,
1408.0,-0.009387102909386158,-0.0018181148345819843,
1536.0,-0.0012459354475140572,-0.00257390582221431,
1664.0,0.006835168693214655,-0.003218429445222222,
1792.0,0.010564814321696758,-0.003774572165323678,
1920.0,-0.0009215529426001012,-0.004259346522892577,
2048.0,-0.006933525204658508,-0.004685661976316516,
2304.0,-0.001793339499272406,-0.005400661762334648,
2560.0,-0.008541977033019066,-0.005976726370777913,
2816.0,-0.011327826417982578,-0.006450765526998259,
3072.0,-0.007610688917338848,-0.006847678535262561,
3328.0,-0.0024361442774534225,-0.007184871999604423,
3584.0,-0.025559354573488235,-0.0074748810116166825,
3840.0,-0.016311312094330788,-0.007726961921815283,
4096.0,0.011474598199129105,-0.00794809854730193,
4608.0,-0.004507419187575579,-0.008317838523969435,
5120.0,-0.025354668498039246,-0.008614696645234014,
5632.0,-0.033920373767614365,-0.008858288917620732,
6144.0,-0.004162810277193785,-0.009061771427029165,
6656.0,0.009190753102302551,-0.00923429727674067,
7168.0,0.01807086169719696,-0.009382431440538984,
7680.0,0.014103766530752182,-0.0095110051404622,
8192.0,0.0006688523571938276, ,
9216.0,0.0063303569331765175, ,
10240.0,0.0007024692022241652, ,
11264.0,-0.0022868274245411158, ,
12288.0,-0.01719314604997635, ,
13312.0,-0.015062646009027958, ,
14336.0,-0.020968014374375343, ,
