Time (ms),2022-05-17_multipletau_labthresh-0dot04_cutandshift_0dot2-0dot1_0304_correlation-CH1_1,2022-05-17_multipletau_labthresh-0dot04_cutandshift_0dot2-0dot1_0304_correlation-CH1_1 fitted model: ,
1.0,0.06618718802928925,0.0655428460536908,
2.0,0.0649130567908287,0.06445259812724236,
3.0,0.06367327272891998,0.06339605181252532,
4.0,0.06252169609069824,0.06237166822425311,
5.0,0.061435602605342865,0.06137800076404826,
6.0,0.060393258929252625,0.060413688304574914,
7.0,0.059374816715717316,0.05947744896894326,
8.0,0.05834983289241791,0.05856807444560241,
9.0,0.05738256871700287,0.05768442478570319,
10.0,0.05650176480412483,0.056825423635827765,
11.0,0.05569805949926376,0.055990053864166354,
12.0,0.05493709817528725,0.05517735354277161,
13.0,0.054177675396203995,0.054386412252523275,
14.0,0.05344073474407196,0.05361636768096205,
15.0,0.05269259586930275,0.05286640248626405,
16.0,0.051928289234638214,0.05213574140337928,
18.0,0.050506360828876495,0.050729425058544796,
20.0,0.04917848855257034,0.04939196137177516,
22.0,0.04785033315420151,0.048118414671410994,
24.0,0.04664533957839012,0.04690431002501994,
26.0,0.045482244342565536,0.045745580703594926,
28.0,0.044381629675626755,0.044638522673949584,
30.0,0.04336130619049072,0.0435797550463043,
32.0,0.04237610474228859,0.0425661855872803,
36.0,0.040598198771476746,0.0406635382525946,
40.0,0.038778748363256454,0.03891055828947208,
44.0,0.03714225813746452,0.03729025414005803,
48.0,0.03581277281045914,0.03578811250365299,
52.0,0.034620631486177444,0.03439166240775294,
56.0,0.03333555534482002,0.03309012816856149,
60.0,0.03198842331767082,0.03187415078983021,
64.0,0.030659915879368782,0.0307355625552179,
72.0,0.02820146456360817,0.028662769841310547,
80.0,0.026205142959952354,0.026824025627702325,
88.0,0.024976348504424095,0.025181807120439634,
96.0,0.02422448620200157,0.023706205533501275,
104.0,0.023635104298591614,0.02237308806688256,
112.0,0.023168092593550682,0.021162767800789094,
120.0,0.022425366565585136,0.020059024966067672,
128.0,0.021606886759400368,0.019048375863597374,
144.0,0.020377805456519127,0.01726291210642071,
160.0,0.018665792420506477,0.01573516070014352,
176.0,0.015862930566072464,0.014413080456659642,
192.0,0.013775079511106014,0.013257758431559002,
208.0,0.012356139719486237,0.01223951574795476,
224.0,0.01126058492809534,0.01133532192871601,
240.0,0.010169661603868008,0.010527031980000635,
256.0,0.009762807749211788,0.009800156178458155,
288.0,0.00987406075000763,0.008545947233735737,
320.0,0.006429474335163832,0.007502032663237651,
352.0,0.00491460133343935,0.006619613197815736,
384.0,0.005551815032958984,0.005863904165127923,
416.0,0.004664623644202948,0.00520944146562786,
448.0,0.0015948301879689097,0.004637155750491766,
480.0,-0.0005332765867933631,0.00413248362703213,
512.0,-0.001779540441930294,0.0036841109863548103,
576.0,-0.003741936292499304,0.002922362632561174,
640.0,-0.002626194152981043,0.002299567938161025,
704.0,-0.0050130682066082954,0.0017808841436187982,
768.0,-0.0025843868497759104,0.0013422190570005314,
832.0,-0.0003685325209517032,0.0009663816845515219,
896.0,0.0014307876117527485,0.0006407763068061005,
960.0,0.0030327606946229935,0.0003559632227343613,
1024.0,0.0024884624872356653,0.00010472854263523287,
1152.0,-0.0026976042427122593,-0.00031825320658340067,
1280.0,0.0011780797503888607,-0.0006605288933208726,
1408.0,0.000426601996878162,-0.000943185220311081,
1536.0,-0.0009628619300201535,-0.001180551431763684,
1664.0,-0.003941608592867851,-0.0013827054113756173,
1792.0,-0.00414691399782896,-0.0015569414876175974,
1920.0,0.00018212439317721874,-0.0017086693968984788,
2048.0,-0.0033273939043283463,-0.0018419859946582472,
2304.0,0.0054159932769834995,-0.002065339338523592,
2560.0,0.009090478532016277,-0.0022450733094545746,
2816.0,0.0033048447221517563,-0.002392829036780153,
3072.0,-0.009943991899490356,-0.0025164436748938415,
3328.0,-0.0027337782084941864,-0.002621386839472336,
3584.0,0.004729333333671093,-0.0027115918468859756,
3840.0,0.005751391407102346,-0.0027899597158104984,
4096.0,0.002245706971734762,-0.0028586769729932724,
4608.0,-0.008776199072599411,-0.0029735083852372346,
5120.0,-0.00794063787907362,-0.003065646981401907,
5632.0,-0.011432013474404812,-0.0031412146444828623,
6144.0,0.00013348185166250914,-0.0032043129187096075,
6656.0,0.0015193290309980512,-0.0032577929259165377,
7168.0,-0.005175580736249685,-0.003303698133750582,
7680.0,-0.003217104123905301,-0.003343531428111035,
8192.0,-0.0045806714333593845, ,
