Time (ms),2022-04-25_multipletau_0cd20_1dot0-0dot1_2127_correlation-CH1_1,2022-04-25_multipletau_0cd20_1dot0-0dot1_2127_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_1dot0-0dot1_2146_correlation-CH1_1,2022-04-25_multipletau_0cd20_1dot0-0dot1_2146_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_1dot0-0dot1_2167_correlation-CH1_1,2022-04-25_multipletau_0cd20_1dot0-0dot1_2167_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_1dot0-0dot1_2191_correlation-CH1_1,2022-04-25_multipletau_0cd20_1dot0-0dot1_2191_correlation-CH1_1 fitted model: ,
1.0,0.20031222701072693, ,0.1667250543832779, ,0.20934933423995972, ,0.22026783227920532, ,
2.0,0.1908404678106308, ,0.15754954516887665, ,0.19882749021053314, ,0.21112817525863647, ,
3.0,0.18256589770317078, ,0.1496652066707611, ,0.18982915580272675, ,0.2035244256258011, ,
4.0,0.1748606562614441, ,0.14305265247821808, ,0.1816297024488449, ,0.19648504257202148, ,
5.0,0.1680721491575241, ,0.13665756583213806, ,0.17434747517108917, ,0.1899496614933014, ,
6.0,0.16109147667884827, ,0.1305481344461441, ,0.1678362339735031, ,0.18372657895088196, ,
7.0,0.1544097512960434, ,0.12514567375183105, ,0.16245737671852112, ,0.17737068235874176, ,
8.0,0.1486147940158844, ,0.11998245865106583, ,0.15737342834472656, ,0.17131753265857697, ,
9.0,0.14336049556732178, ,0.11538349837064743, ,0.1523943841457367, ,0.16525080800056458, ,
10.0,0.13843919336795807, ,0.11079099774360657, ,0.147805854678154, ,0.1592767983675003, ,
11.0,0.1334395855665207, ,0.10663092881441116, ,0.14363600313663483, ,0.1533428430557251, ,
12.0,0.1281699240207672, ,0.10319310426712036, ,0.13988469541072845, ,0.14826872944831848, ,
13.0,0.12267310917377472, ,0.09998629987239838, ,0.1358320415019989, ,0.14340662956237793, ,
14.0,0.1174074113368988, ,0.09708409011363983, ,0.13219743967056274, ,0.13856960833072662, ,
15.0,0.11265920102596283, ,0.09438253194093704, ,0.12876814603805542, ,0.13454651832580566, ,
16.0,0.10902315378189087, ,0.09152738749980927, ,0.1264500468969345, ,0.13008876144886017, ,
18.0,0.10304790735244751, ,0.0863569974899292, ,0.12157341092824936, ,0.1220676600933075, ,
20.0,0.09801320731639862, ,0.08172528445720673, ,0.11809522658586502, ,0.11505025625228882, ,
22.0,0.09318019449710846, ,0.07847890257835388, ,0.11617489904165268, ,0.10758723318576813, ,
24.0,0.08794984221458435, ,0.0756760835647583, ,0.11556369811296463, ,0.09982569515705109, ,
26.0,0.08307363092899323, ,0.07329947501420975, ,0.11419382691383362, ,0.09254984557628632, ,
28.0,0.07841692119836807, ,0.07185886055231094, ,0.11281713098287582, ,0.08444743603467941, ,
30.0,0.07495354861021042, ,0.07003214210271835, ,0.11185537278652191, ,0.07763747125864029, ,
32.0,0.07219885289669037, ,0.0683901384472847, ,0.11115358024835587, ,0.07071103900671005, ,
36.0,0.06631764024496078, ,0.06668313592672348, ,0.10480742156505585, ,0.06089825928211212, ,
40.0,0.05951991304755211, ,0.0637696385383606, ,0.0953855887055397, ,0.052319396287202835, ,
44.0,0.05226430296897888, ,0.062070704996585846, ,0.08614777028560638, ,0.04347575455904007, ,
48.0,0.04522807151079178, ,0.061339013278484344, ,0.07966521382331848, ,0.035562947392463684, ,
52.0,0.03955996409058571, ,0.06177784875035286, ,0.07281576097011566, ,0.028512973338365555, ,
56.0,0.03708137571811676, ,0.061955541372299194, ,0.06609553098678589, ,0.02346719615161419, ,
60.0,0.03502389043569565, ,0.06270207464694977, ,0.0615527518093586, ,0.02180377207696438, ,
64.0,0.03375106677412987, ,0.061542756855487823, ,0.057662587612867355, ,0.02195727452635765, ,
72.0,0.03343139961361885, ,0.05587556213140488, ,0.053021445870399475, ,0.02318301983177662, ,
80.0,0.03171259164810181, ,0.047628674656152725, ,0.045511361211538315, ,0.026983721181750298, ,
88.0,0.03398274630308151, ,0.04303426295518875, ,0.03873792663216591, ,0.034952763468027115, ,
96.0,0.03630745783448219, ,0.039941053837537766, ,0.035087596625089645, ,0.04519190639257431, ,
104.0,0.03707663342356682, ,0.040606722235679626, ,0.035465341061353683, ,0.0561649426817894, ,
112.0,0.03747818246483803, ,0.04038339853286743, ,0.03461064025759697, ,0.05938181281089783, ,
120.0,0.03656454011797905, ,0.03723137453198433, ,0.033928606659173965, ,0.05890393257141113, ,
128.0,0.031737253069877625, ,0.033598121255636215, ,0.03874104470014572, ,0.059606608003377914, ,
144.0,0.029412034898996353, ,0.027776535600423813, ,0.04013798013329506, ,0.05697418749332428, ,
160.0,0.03412846848368645, ,0.025391273200511932, ,0.04429403692483902, ,0.036211784929037094, ,
176.0,0.03005019947886467, ,0.019536467269062996, ,0.04048675298690796, ,0.012539631687104702, ,
192.0,0.01934869773685932,0.20691393862274424,0.013263256289064884,0.17023331886196755,0.03684769198298454,0.21067110998974606,-0.0017758102621883154,0.23506803870764145,
208.0,0.01648046262562275,0.19498154888880936,0.00914454460144043,0.15811869414569787,0.032713934779167175,0.19718731061078176,-0.0035182477440685034,0.22137494469873303,
