Time (ms),2023-01-04_multipletau_labthresh-0dot04_avgcorrs_3dot0-0dot01_0002_correlation-CH1_1,2023-01-04_multipletau_labthresh-0dot04_avgcorrs_3dot0-0dot01_0002_correlation-CH1_1 fitted model: ,
1.0,0.03324971720576286,0.03087919976574046,
2.0,0.029072344303131104,0.028417823734224724,
3.0,0.02595190703868866,0.026275741754418037,
4.0,0.02350926585495472,0.024394609037343754,
5.0,0.021819869056344032,0.0227294798262807,
6.0,0.020259376615285873,0.021245169837327285,
7.0,0.018857743591070175,0.01991374269789602,
8.0,0.017946597188711166,0.018712735030277334,
9.0,0.016902616247534752,0.017623878766090423,
10.0,0.015836292877793312,0.016632165429049772,
11.0,0.01514175720512867,0.015725150164773567,
12.0,0.014444283209741116,0.014892426787356989,
13.0,0.014015977270901203,0.014125226744764453,
14.0,0.013404745608568192,0.013416109167684383,
15.0,0.01264695730060339,0.012758718747296862,
16.0,0.012000312097370625,0.012147594733921963,
18.0,0.010204990394413471,0.011045893447729455,
20.0,0.009067504666745663,0.01008013076904849,
22.0,0.0088508827611804,0.009226608609069731,
24.0,0.008823974058032036,0.008466834731202752,
26.0,0.00900066364556551,0.0077861676819195695,
28.0,0.008157306350767612,0.00717286404199134,
30.0,0.00819493447453147,0.006617395211637992,
32.0,0.007221544812903342,0.006111948775120226,
36.0,0.008028462491763224,0.005226327613879454,
40.0,0.0065991327438886015,0.004475870358615859,
44.0,0.006135562596110893,0.0038318277094064514,
48.0,0.004579425575710567,0.0032730638548019476,
52.0,0.004437398029092167,0.0027836926808878937,
56.0,0.0034810591530653515,0.0023515431671618592,
60.0,0.0016645201831124723,0.0019671333672357334,
64.0,0.00016364234937954637,0.001622966624978764,
72.0,0.0022232427763810847,0.0010324800415893159,
80.0,0.0012011893680513215,0.0005442227308089321,
88.0,0.00038052225499995984,0.00013376170250903232,
96.0,-0.0005549285124288872,-0.00021612451435251354,
104.0,-0.0005397056562893946,-0.0005179236820599623,
112.0,0.0009358796984694587,-0.0007809117315172804,
120.0,0.0020564223523251712,-0.0010121229749901054,
128.0,0.0017956346412614473,-0.0012169886637890437,
144.0,0.00011467364553633767,-0.001563852740924737,
160.0,-0.002950903829211408,-0.0018463402715626974,
176.0,-0.004418871040494802,-0.0020808513904129597,
192.0,-0.006003753545681118,-0.0022786516030946797,
208.0,-0.009467451854207967,-0.002447735386426632,
224.0,-0.011716662608604465,-0.0025939330531016083,
240.0,-0.01198734813245513,-0.0027215966512484577,
256.0,-0.012172500896364605,-0.002834040550889413,
288.0,0.005227509624091908,-0.0030229963212053037,
320.0,0.002751765430730302,-0.0031755726433991506,
352.0,-0.0026395635395601857,-0.0033013531020643244,
384.0,-0.008508155009621987,-0.003406826820831061,
416.0,-0.009798104408218933,-0.0034965441425702944,
448.0,-0.010222682745734346,-0.003573790376254884,
480.0,-0.008167623727266411,-0.003640996841200165,
512.0,-0.007000969781074673,-0.0037000014196118904,
576.0,-0.0011552450014278293,-0.0037987574493902904,
640.0,-0.002207304355882419,-0.003878138202408281,
704.0,-0.002656940894667059,-0.003943336254994893,
768.0,-0.0025902511454963437,-0.0039978408652577265,
832.0,-0.002976325481237533,-0.004044083461550489,
896.0,0.006554571562446654,-0.004083810274527317,
960.0,0.004184286808595061,-0.004118307819755364,
1024.0,0.0028373778332024813, ,
