name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),N (mom),bri (kHz),above zero
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_3dot0-0dot1_0006_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 13:59:28 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.04643140970990023,0.006754463070416295,0.0985475229781327,0.00631608182627396,10.147388486079919,0.0985475229781327,1.0,0,110.5190532430881,30.060511025088868,1.0,0,1.0,1.0,0.6666666666666666
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_3dot0-0dot01_0006_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 13:59:28 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.01858581220204447,0.0040882344314558845,0.0434224621810265,0.003850578715482658,23.02955543679306,0.0434224621810265,1.0,0,105.93274165882475,40.25101907656562,1.0,0,1.0,1.0,0.6666666666666666
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_3dot0-0dot01_0007_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 13:59:28 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.001780267696336324,0.0002810448993708015,0.035708198679550315,0.0027248547931554463,28.004773048736528,0.035708198679550315,1.0,0,3.1799909131137576,0.49162169061986616,1.0,0,1.0,1.0,0.5416666666666666
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_3dot0-0dot1_0007_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 13:59:28 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.013262487595485983,0.0017501226110383918,0.0683600108068338,0.0036621013269979713,14.62843537028862,0.0683600108068338,1.0,0,22.5648562120243,4.259997745290786,1.0,0,1.0,1.0,0.5694444444444444
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_3dot0-0dot1_0008_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 13:59:28 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.01883544485488553,0.002917369247652747,0.04162752608595928,0.0028214883700348682,24.022566172561817,0.04162752608595928,1.0,0,93.5744023637482,27.78825285736308,1.0,0,1.0,1.0,0.671875
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_3dot0-0dot01_0008_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 13:59:28 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.4999999996622052,0.609821165440606,0.5205287799158552,0.6090459425961328,1.9211233625961133,0.5205287799158552,1.0,0,5210.596608032583,7037.297331563035,1.0,0,1.0,1.0,0.8125
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_3dot0-0dot1_0009_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 13:59:28 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.010855346446176029,0.0025178482737292117,0.0500575788534838,0.005800690415953148,19.976994950693747,0.0500575788534838,1.0,0,19.775578912693955,7.7294996470683035,1.0,0,1.0,1.0,0.6805555555555556
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_3dot0-0dot01_0009_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 13:59:28 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.001870067995755953,0.00029357473958413976,0.036997290211249194,0.0034949577246051757,27.02900656480905,0.036997290211249194,1.0,0,2.5662448719851674,0.4677015255109045,1.0,0,1.0,1.0,0.5694444444444444
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_3dot0-0dot01_0010_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 13:59:28 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,0.04747939627190223,0.00612888782480112,0.010942910603958411,5792531.879474077,91.38336555890963,0.010942910603958411,1.0,0,0.00010000078215211303,52024.00308017003,1.0,0,1.0,1.0,0.8125
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_3dot0-0dot1_0010_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 13:59:28 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,9.226794685557316e-05,0.0010006758915978853,0.06364990221456995,0.005308441864480581,15.710943225472738,0.06364990221456995,1.0,0,6.493873841918276,1.3051786528109621,1.0,0,1.0,1.0,0.65
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_3dot0-0dot1_0011_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 13:59:28 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.016512475681981775,0.004200795471454577,0.06165101650680612,0.0066244216086841935,16.22033271567554,0.06165101650680612,1.0,0,33.84689169266514,14.507762377670362,1.0,0,1.0,1.0,0.671875
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_3dot0-0dot01_0011_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 13:59:28 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.01088991064909961,0.0036717278088397435,0.04497616795089301,0.00564055789272713,22.23399737149338,0.04497616795089301,1.0,0,35.190931544996324,17.803305406301856,1.0,0,1.0,1.0,0.71875
