Time (ms),2023-01-04_multipletau_labthresh-0dot04_avgcorrs_0dot08-0dot1_0013_correlation-CH1_1,2023-01-04_multipletau_labthresh-0dot04_avgcorrs_0dot08-0dot1_0013_correlation-CH1_1 fitted model: ,
1.0,0.19143807888031006,0.18911321272338055,
2.0,0.18638715147972107,0.18479555508852563,
3.0,0.18176479637622833,0.1805958615792677,
4.0,0.1774234175682068,0.1765093629425193,
5.0,0.17317579686641693,0.17253154359910822,
6.0,0.1690707951784134,0.16865812499914,
7.0,0.16502369940280914,0.16488505027093608,
8.0,0.16194884479045868,0.16120847004775862,
9.0,0.15900260210037231,0.1576247293682302,
10.0,0.15605349838733673,0.1541303555567357,
11.0,0.15266236662864685,0.15072204699932973,
12.0,0.1490735560655594,0.14739666273889163,
13.0,0.1458335518836975,0.14415121282060378,
14.0,0.1426510363817215,0.14098284932537747,
15.0,0.13928265869617462,0.13788885803470524,
16.0,0.13567906618118286,0.13486665067566772,
18.0,0.12883418798446655,0.12902782155152714,
20.0,0.1224316880106926,0.12344791224367083,
22.0,0.11573900282382965,0.11811007383503841,
24.0,0.10948468744754791,0.11299888827053267,
26.0,0.10363826900720596,0.10810021962324268,
28.0,0.09828236699104309,0.1034010835353385,
30.0,0.09425494819879532,0.09888953229433506,
32.0,0.08940915018320084,0.09455455340295538,
36.0,0.10296612153927397,0.08637441040021834,
40.0,0.09050992261576798,0.07878809159039774,
44.0,0.07899815818382194,0.07173320021519125,
48.0,0.06736050096619042,0.06515578557127116,
52.0,0.0547922911691785,0.05900896070995337,
56.0,0.0420983864023583,0.053251783008874926,
60.0,0.031595595371722345,0.04784834108532085,
64.0,0.018123909591720024,0.042767005000220154,
72.0,0.029608619043106695,0.03346192484820901,
80.0,0.015930772298902628,0.0251480458602365,
88.0,0.0036789210252685563,0.01767499892813751,
96.0,-0.006309649979119145,0.01092136637397173,
104.0,-0.013673654094981473,0.004788034200444491,
112.0,-0.009803416569151782,-0.0008067043583807609,
120.0,-0.005755098680743859,-0.005930809608184151,
128.0,-0.00672257960485738,-0.010641269614289878,
144.0,-0.00013912780923419632,-0.01900663861561319,
160.0,-0.004866083567321766,-0.026209155992889727,
176.0,-0.010581332175206626,-0.03247553263998021,
192.0,-0.018320287665119395,-0.037977142543366635,
208.0,-0.027300351216581475,-0.04284593545847923,
224.0,-0.04009198131097946,-0.047185157193414345,
240.0,-0.05977475121617317,-0.051076752234242614,
256.0,-0.08151933310242991,-0.05458658781198793,
288.0,0.028702044194298133,-0.060665607113454,
320.0,0.013183917051979474,-0.06574756247145788,
352.0,-0.02489799809908228,-0.07005916511926735,
384.0,-0.07542553346138448,-0.07376323625707826,
416.0,-0.11438191000239126,-0.07697973203034687,
448.0,-0.14007200852834753,-0.07979897851718645,
480.0,-0.13816413429698773,-0.08229028820573361,
512.0,-0.09830773239290076,-0.08450773491288607,
576.0,-0.11374560318654403,-0.08828377988755558,
640.0,-0.115668217651546,-0.09137926757150122,
704.0,-0.09314923589408863,-0.09396297413566237,
768.0,-0.06958755454979837,-0.09615212892369014,
832.0,-0.07724589924328029,-0.09803069746218754,
896.0,-0.10542108450317755,-0.09966039821664338,
960.0,-0.11447917600162327,-0.10108761293851493,
1024.0,-0.10263678338378668, ,
1152.0,-0.04015222191810608, ,
1280.0,-0.16219108924269676, ,
1408.0,-0.09034315403550863, ,
1536.0,-0.1073738276027143, ,
1664.0,-0.1340201199054718, ,
1792.0,0.043707504868507385, ,
