Time (ms),average_data,average_data fitted model: ,
1.0,0.11013665200089631, ,
2.0,0.10274066904262788, ,
3.0,0.09626940103328746, ,
4.0,0.09044482271470454, ,
5.0,0.08518492881262647, ,
6.0,0.08043247172473997, ,
7.0,0.07609087871252626, ,
8.0,0.0721800933200596, ,
9.0,0.06860320854162716, ,
10.0,0.06526107142976337, ,
11.0,0.062183554287648934, ,
12.0,0.059337724830307394, ,
13.0,0.056676120527655534, ,
14.0,0.054156330984382745, ,
15.0,0.05177362842495432, ,
16.0,0.04957820255009025, ,
18.0,0.04537071655943072, ,
20.0,0.04168858294091795, ,
22.0,0.038305685024512794, ,
24.0,0.0350321510222916, ,
26.0,0.03213087196643861, ,
28.0,0.029462466774389937, ,
30.0,0.027912565909634156, ,
32.0,0.02564403467564551, ,
36.0,0.032480917655647173, ,
40.0,0.028299007786387588, ,
44.0,0.024690712423617527, ,
48.0,0.021465133942927293, ,
52.0,0.01881705407968373, ,
56.0,0.016340389787507317, ,
60.0,0.015040439679490957, ,
64.0,0.012785874488881157, ,
72.0,0.018124112933065283, ,
80.0,0.013347837627553542, ,
88.0,0.008747441059059004, ,
96.0,0.004598683658048196, ,
104.0,0.0013859007455224704, ,
112.0,-0.0013586012121050673,0.09690924589733199,
120.0,-0.003090882434431783,0.09311474468290956,
128.0,-0.004969636385033302,0.08952504803037437,
144.0,-0.003301858482223759,0.08612401046347087,
160.0,-0.008168718092088577,0.08289714012653461,
176.0,-0.012484143295768206,0.07983139236497387,
192.0,-0.016409640994076224,0.0769149934731273,
208.0,-0.019567356166135974,0.07413728958815902,
224.0,-0.021476511512629214,0.07148861664166554,
240.0,-0.0210043345492937,0.0689601880230749,
256.0,-0.022055829403563883,0.06654399720302445,
288.0,-0.021729522768204626,0.06423273304291018,
320.0,-0.024070627153960855,0.06201970590338024,
352.0,-0.027264051920261725,0.05989878297872418,
384.0,-0.031318471707745175,0.057864331540646435,
416.0,-0.03480954645983911,0.05591116898532379,
448.0,-0.03737115541782517,0.052229971316450824,
480.0,-0.03619425691073294,0.048821178261239453,
512.0,-0.03871422291965109,0.045655632170235924,
576.0,-0.033073591235663856,0.042708193338972994,
640.0,-0.03465941520247677,0.03995707096209741,
704.0,-0.03635574753678806,0.03738328346578795,
768.0,-0.037965794647559246,0.03497021994119737,
832.0,-0.03861459748482685,0.0327032812510548,
896.0,-0.042855810639704964,0.028557717657401574,
960.0,-0.04340887366248476,0.02485999115357196,
1024.0,-0.03524958712978854, ,
