name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2)
0cd20,Not known,average_data,average_data,Mon May 16 12:17:47 2022,Equation 1A,2,no triplet,1,2D,1,8192,-0.000154,None,0.03688,None,27.114967462039,0.022209,None,0.977791,None,248.216048,None,1.329172,None,1,None,1,None
19e3e,Not known,average_data,average_data,Mon May 16 12:17:47 2022,Equation 1A,2,no triplet,1,2D,1,8192,-0.000941,None,0.040107,None,24.9333034133692,0.110555,None,0.889445,None,416.547523,None,1.319481,None,1,None,1,None
34a6d,Not known,average_data,average_data,Mon May 16 12:17:47 2022,Equation 1A,2,no triplet,1,2D,1,8192,-0.002082,None,0.040928,None,24.43315089914,0.168569,None,0.831431,None,804.977857,None,1.529758,None,1,None,1,None
484af,Not known,average_data,average_data,Mon May 16 12:17:47 2022,Equation 1A,2,no triplet,1,2D,1,8192,-0.000184,None,0.034399,None,29.0706125178058,0.009221,None,0.990779,None,1706.942958,None,1.497291,None,1,None,1,None
714af,Not known,average_data,average_data,Mon May 16 12:17:47 2022,Equation 1A,2,no triplet,1,2D,1,8192,-0.000199,None,0.035289,None,28.3374422624614,0.010328,None,0.989672,None,1516.059421,None,1.398279,None,1,None,1,None
34766,Not known,average_data,average_data,Mon May 16 12:17:47 2022,Equation 1A,2,no triplet,1,2D,1,8192,-0.000264,None,0.038646,None,25.8758991874968,0.069277,None,0.930723,None,151.87867,None,1.279398,None,1,None,1,None
c1204,Not known,average_data,average_data,Mon May 16 12:17:48 2022,Equation 1A,2,no triplet,1,2D,1,8192,-0.001528,None,0.041651,None,24.0090273943003,0.165576,None,0.834424,None,505.478956,None,1.380172,None,1,None,1,None
fe81d,Not known,average_data,average_data,Mon May 16 12:17:48 2022,Equation 1A,2,no triplet,1,2D,1,8192,-0.000192,None,0.036473,None,27.4175417432073,0.00799,None,0.99201,None,2256.769852,None,1.263263,None,1,None,1,None
ff67b,Not known,average_data,average_data,Mon May 16 12:17:48 2022,Equation 1A,2,no triplet,1,2D,1,8192,-0.00024,None,0.036258,None,27.5801202493243,0.006616,None,0.993384,None,9999.998854,None,1.313601,None,1,None,1,None
dirty,Not known,average_data,average_data,Mon May 16 12:17:48 2022,Equation 1A,2,no triplet,1,2D,1,8192,-0.028213,None,0.341924,None,2.92462652519273,0.690444,None,0.309556,None,295.597877,None,22.177328,None,1,None,1,None
