name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2)
0cd20,Not known,average_data,average_data,Thu May 12 14:34:04 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.001961,None,0.074007,None,13.51223532909049,0.668301,None,0.331699,None,56.463408,None,0.010165,None,1.0,None,1.0,None
19e3e,Not known,average_data,average_data,Thu May 12 14:34:04 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0027558219065155765,None,0.04913700516546568,None,20.351260656455654,0.07459953937500385,None,0.9254004606249961,None,763.8903901253568,None,54.74603279355786,None,1.0,None,1.0,None
34a6d,Not known,average_data,average_data,Thu May 12 14:34:04 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0025737065615265564,None,0.04863086202094658,None,20.563073703469904,0.15335050763318708,None,0.8466494923668129,None,297.083457022988,None,50.31224145486797,None,1.0,None,1.0,None
484af,Not known,average_data,average_data,Thu May 12 14:34:04 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0018943114833654962,None,0.04924954797363796,None,20.30475488902507,0.1594074510889369,None,0.840592548911063,None,154.44191495163167,None,39.27071824265856,None,1.0,None,1.0,None
714af,Not known,average_data,average_data,Thu May 12 14:34:04 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.002376,None,0.048527,None,20.607084715725264,0.160349,None,0.839651,None,278.932832,None,37.923722,None,1.0,None,1.0,None
34766,Not known,average_data,average_data,Thu May 12 14:34:04 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0025734759497741955,None,0.05457422905713643,None,18.323666999547555,0.3171622164465902,None,0.6828377835534098,None,147.2029515277358,None,44.94969964459588,None,1.0,None,1.0,None
c1204,Not known,average_data,average_data,Thu May 12 14:34:04 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0027467204131813583,None,0.04990350291021497,None,20.03867347346684,0.19773586130502913,None,0.8022641386949709,None,288.6533283113123,None,45.23735505058144,None,1.0,None,1.0,None
fe81d,Not known,average_data,average_data,Thu May 12 14:34:04 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0019275926588360193,None,0.04586952976212339,None,21.80096471853842,0.26271262244851723,None,0.7372873775514828,None,120.51921572067288,None,40.47777210734637,None,1.0,None,1.0,None
ff67b,Not known,average_data,average_data,Thu May 12 14:34:04 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0024440232487934477,None,0.048596789135600345,None,20.577491183824616,0.15519473501221792,None,0.8448052649877821,None,309.14248035015135,None,40.17108784135355,None,1.0,None,1.0,None
dirty,Not known,average_data,average_data,Thu May 12 14:34:04 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.03907111531876484,None,0.4500533354313355,None,2.221958868589631,0.464479477947381,None,0.535520522052619,None,446.37708498625756,None,53.66420876443537,None,1.0,None,1.0,None
