name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1)
0cd20,Not known,average_data,average_data,Thu May 12 15:06:38 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,0.01,4.015058611115819e-05,1.0,7.860598741933922e-05,1.0,1.0,0,0.01,0.3464678741785396,1.0,0
19e3e,Not known,average_data,average_data,Thu May 12 15:06:38 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0019086244234285399,7.278901202150274e-05,0.04769622396951046,0.00013427409246125088,20.966020300459096,1.0,0,63.42497067361519,0.7105486150410445,1.0,0
34a6d,Not known,average_data,average_data,Thu May 12 15:06:38 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0019485402718445455,7.557151692793034e-05,0.047183329341059475,0.0001372030980747922,21.19392620159571,1.0,0,65.5536092948306,0.7634911048970758,1.0,0
484af,Not known,average_data,average_data,Thu May 12 15:06:38 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0015734874291778445,5.575050953846702e-05,0.048252803831160145,0.00011671871988544524,20.72418430852367,1.0,0,49.36100134569196,0.4504156289124829,1.0,0
714af,Not known,average_data,average_data,Thu May 12 15:06:38 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.001621,9.65540714414649e-05,0.046602,0.0001966246625307776,21.458306510450196,1.0,0,52.060497,0.8386205738173276,1.0,0
34766,Not known,average_data,average_data,Thu May 12 15:06:38 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.002149,7.447719612679993e-05,0.05324,0.0001340581026262705,18.78287002253944,1.0,0,66.742992,0.6754446833662066,1.0,0
c1204,Not known,average_data,average_data,Thu May 12 15:06:38 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0019190998496255718,0.00010786700013576868,0.047901671955252835,0.00019662427433025505,20.876098039628893,1.0,0,65.00857630734741,1.0670523631504782,1.0,0
fe81d,Not known,average_data,average_data,Thu May 12 15:06:38 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0016739801407140709,5.395162641490611e-05,0.04499202935049841,0.00010697942873061181,22.226159042744364,1.0,0,54.84252759666339,0.503551317322778,1.0,0
ff67b,Not known,average_data,average_data,Thu May 12 15:06:38 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0016496003333507092,9.869088655197336e-05,0.046668669760811306,0.0001960326073950621,21.42765167992257,1.0,0,54.65475070878936,0.8858772452144482,1.0,0
dirty,Not known,average_data,average_data,Thu May 12 15:06:49 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.022168,0.0020829754777949307,0.413612,0.002734013481118054,2.4177248242314056,1.0,0,144.996785,4.260678693911234,1.0,0
