name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1)
0cd20,Not known,average_data,average_data,Thu May 12 21:03:44 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.005556,0.0001418442046912546,0.072124,0.00018426722871433258,13.865010260107594,1.0,0,149.582242,1.702078113389737,1.0,0
19e3e,Not known,average_data,average_data,Thu May 12 21:03:44 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.005686,0.00010619790483087402,0.070183,0.00013628064957418157,14.248464727925567,1.0,0,155.330049,1.346108299090454,1.0,0
34a6d,Not known,average_data,average_data,Thu May 12 21:03:44 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.005953,0.00010907715306403433,0.070764,0.0001382050648900651,14.131479283251371,1.0,0,161.692928,1.4119992116995885,1.0,0
484af,Not known,average_data,average_data,Thu May 12 21:03:44 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.005426,0.00014767002117908252,0.0705,0.0001912094271290638,14.184397163120568,1.0,0,151.084311,1.8260683562146798,1.0,0
714af,Not known,average_data,average_data,Thu May 12 21:03:44 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.005458,0.00018537282268279512,0.070215,0.00023859503095030815,14.24197108879869,1.0,0,153.895979,2.3327555574043606,1.0,0
34766,Not known,average_data,average_data,Thu May 12 21:03:44 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.007511,0.00017201291743223503,0.082297,0.00021052832227217363,12.15111121912099,1.0,0,181.313913,2.081529627217155,1.0,0
c1204,Not known,average_data,average_data,Thu May 12 21:03:44 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.008725,0.00023906473433856818,0.082489,0.0002811627429098448,12.122828498345234,1.0,0,209.280185,3.2045477455965554,1.0,0
fe81d,Not known,average_data,average_data,Thu May 12 21:03:44 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.005688,0.00014026657817202285,0.069786,0.00017821378098464556,14.329521680566302,1.0,0,160.28079,1.8294357038703015,1.0,0
ff67b,Not known,average_data,average_data,Thu May 12 21:03:44 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.005513,0.00016020399451340897,0.069787,0.00020515725565223804,14.329316348317022,1.0,0,156.344587,2.051885587182285,1.0,0
dirty,Not known,average_data,average_data,Thu May 12 21:04:26 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.009183,0.004112177677737686,0.68755,0.00786537690923643,1.4544396771143917,1.0,0,58.923199,2.64257909138257,1.0,0
