Time (ms),average_data,average_data fitted model: ,
1.0,0.7398833477931718,0.6668934253237028,
2.0,0.7105717783172926,0.655796230285395,
3.0,0.6851323913161953,0.6450574532600953,
4.0,0.6624633213256796,0.6346600058916835,
5.0,0.6421812444552779,0.624587869129474,
6.0,0.6238361856589715,0.6148260108766491,
7.0,0.6075203681675097,0.6053603111339209,
8.0,0.5926421022849778,0.5961774938544372,
9.0,0.5790366505893568,0.5872650648182905,
10.0,0.566396805588156,0.5786112549152619,
11.0,0.5546353059696655,0.5702049682943837,
12.0,0.5436930473210911,0.5620357348999752,
13.0,0.5334217110959192,0.5540936669672308,
14.0,0.52386022011439,0.5463694190972804,
15.0,0.5147807622452577,0.538854151572769,
16.0,0.506430441023161,0.531539496611199,
18.0,0.4910390039285024,0.5174807288668813,
20.0,0.47712388399367534,0.5041344901562005,
22.0,0.46461891834313673,0.4914479504596415,
24.0,0.45306827266390126,0.479373376523846,
26.0,0.44201208357388777,0.4678675316997958,
28.0,0.4317225382414957,0.4568911586350776,
30.0,0.42216173646971583,0.4464085317757466,
32.0,0.41292079246913393,0.4363870689287768,
36.0,0.3965172327806552,0.417611036417581,
40.0,0.3825490042939782,0.4003534370044762,
44.0,0.36979523525262875,0.3844372338572518,
48.0,0.3579904065001756,0.36971188195587784,
52.0,0.3469625714980066,0.3560485514880912,
56.0,0.3360526596754789,0.3433363487677334,
60.0,0.32686087843962014,0.3314792998130263,
64.0,0.31852603507849075,0.32039392286267054,
72.0,0.30310028557044766,0.30025526906410027,
80.0,0.2885147735084562,0.2824360152091158,
88.0,0.2760695960621039,0.26655728581116733,
96.0,0.2643621750098343,0.252318463615003,
104.0,0.2535902111038255,0.23947797606990276,
112.0,0.24356885608285667,0.22783947749693237,
120.0,0.2337407498212997,0.21724173818729503,
128.0,0.22511081551822523,0.20755112987866461,
144.0,0.20999567896399338,0.19046215584511406,
160.0,0.19793565520512252,0.17587107682978015,
176.0,0.1864834617227704,0.16326751769220466,
192.0,0.1753907258597125,0.15227127861677606,
208.0,0.16537091145039692,0.14259332004767566,
224.0,0.15684410998908183,0.13400998600884678,
240.0,0.14966653160362814,0.12634550567499347,
256.0,0.14250061635510064,0.11945982909766056,
288.0,0.13016051629672196,0.10759386870031977,
320.0,0.12107534585714651,0.09773206499408749,
352.0,0.11272399117568663,0.08940620629696987,
384.0,0.10461210979692016,0.08228338902413473,
416.0,0.09738103261013747,0.07612043285319563,
448.0,0.0932171219322845,0.07073556140087224,
480.0,0.09003372703649802,0.06599017211104025,
512.0,0.0847578733277866,0.061776736882429434,
576.0,0.07653732540522469,0.05462400409209167,
640.0,0.06826371659262805,0.04878121465173998,
704.0,0.06159954722766997,0.04391870350019175,
768.0,0.0559560470172922,0.03980886373079097,
832.0,0.05057996251976874,0.03628948954905973,
896.0,0.04556345195249984,0.03324186000140973,
960.0,0.04044262619271952,0.030577082254897574,
1024.0,0.03664319157103212,0.028227277492390727,
1152.0,0.02703033993161322,0.024272822597557975,
1280.0,0.019120982330593204,0.021074453229927192,
1408.0,0.014785886026184017,0.018434247069795063,
1536.0,0.012443488710462892,0.016217818541878468,
1664.0,0.01052607336439299,0.014330717347504508,
1792.0,0.008259670490660937,0.012704619908405032,
1920.0,0.003997909178045423,0.011288879770964554,
2048.0,0.0021187358651756465,0.010045157994370574,
2304.0,-0.0031107569340383633,0.007961950315069518,
2560.0,-0.0076422720430612875,0.006286010146346659,
2816.0,-0.013273945423861733,0.004908541034720109,
3072.0,-0.012861989018856547,0.003756329503763421,
3328.0,-0.014416218461168076,0.002778297388495844,
3584.0,-0.017161183264094385,0.0019377242356087686,
3840.0,-0.017041606284365116,0.0012075337274344532,
4096.0,-0.020523260482965117,0.0005673226297681581,
4608.0,-0.019060092616903907,-0.00050239023866816,
5120.0,-0.021791530773019378,-0.0013605946650769082,
5632.0,-0.028621995575376785,-0.002064377514905579,
6144.0,-0.02330674418776122,-0.0026519774595036997,
6656.0,-0.028222438353283603,-0.0031499706691617843,
7168.0,-0.03452911906408796,-0.0035774020321498413,
7680.0,-0.028758633070045125,-0.003948276467975795,
8192.0,-0.029156587808586966, ,
9216.0,-0.025808159549120926, ,
10240.0,-0.026142272082579437, ,
11264.0,-0.020733499272282643, ,
12288.0,-0.021952460759724395, ,
13312.0,-0.02674722366752879, ,
14336.0,-0.023420228400306466, ,
