name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2)
0cd20,Not known,average_data,average_data,Thu May 12 20:39:30 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.005556,None,0.072124,None,13.865010260107594,1.0,None,0.0,None,149.582259,None,1.0,None,1.0,None,1.0,None
19e3e,Not known,average_data,average_data,Thu May 12 20:36:26 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.006284,None,0.071287,None,14.027803105755607,0.254314,None,0.745686,None,343.359428,None,119.767834,None,1.0,None,1.0,None
34a6d,Not known,average_data,average_data,Thu May 12 20:36:26 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.005556,None,0.072124,None,13.865010260107594,1.0,None,0.0,None,149.582259,None,1.0,None,1.0,None,1.0,None
484af,Not known,average_data,average_data,Thu May 12 20:36:26 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.00639,None,0.072629,None,13.768604827272853,0.495632,None,0.504368,None,282.7289,None,80.459263,None,1.0,None,1.0,None
714af,Not known,average_data,average_data,Thu May 12 20:36:26 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.006145,None,0.073777,None,13.554359759816746,0.862993,None,0.137007,None,189.819868,None,15.884501,None,1.0,None,1.0,None
34766,Not known,average_data,average_data,Thu May 12 20:37:39 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.007511,None,0.082297,None,12.15111121912099,1.0,None,0.0,None,181.313777,None,1.0,None,1.0,None,1.0,None
c1204,Not known,average_data,average_data,Thu May 12 20:37:56 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.010775,None,0.086197,None,11.601331832894417,0.482306,None,0.517694,None,467.368735,None,101.897791,None,1.0,None,1.0,None
fe81d,Not known,average_data,average_data,Thu May 12 20:36:26 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.006432,None,0.071568,None,13.972725240330872,0.630173,None,0.369827,None,246.066009,None,74.106988,None,1.0,None,1.0,None
ff67b,Not known,average_data,average_data,Thu May 12 20:38:20 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.005513,None,0.069787,None,14.329316348317022,1.0,None,0.0,None,156.344629,None,1.0,None,1.0,None,1.0,None
dirty,Not known,average_data,average_data,Thu May 12 20:38:41 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.037159,None,0.800397,None,1.2493799951773932,0.583047,None,0.416953,None,15.85245,None,229.897214,None,1.0,None,1.0,None
