Time (ms),2022-04-25_multipletau_0cd20_0dot08-0dot01_2500_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot08-0dot01_2500_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot08-0dot01_2512_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot08-0dot01_2512_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot08-0dot01_2514_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot08-0dot01_2514_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot08-0dot01_2515_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot08-0dot01_2515_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot08-0dot01_2519_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot08-0dot01_2519_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot08-0dot01_2531_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot08-0dot01_2531_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot08-0dot01_2532_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot08-0dot01_2532_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot08-0dot01_2533_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot08-0dot01_2533_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot08-0dot01_2563_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot08-0dot01_2563_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot08-0dot01_2571_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot08-0dot01_2571_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot08-0dot01_2580_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot08-0dot01_2580_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot08-0dot01_2582_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot08-0dot01_2582_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot08-0dot01_2588_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot08-0dot01_2588_correlation-CH1_1 fitted model: ,
1.0,0.1309976577758789, ,0.1541779637336731, ,0.5113227367401123, ,0.10303623229265213, ,0.1741276979446411, ,0.4005223214626312, ,0.20470580458641052, ,0.14963114261627197, ,0.2718483805656433, ,0.04352626949548721, ,0.10326013714075089, ,0.14558924734592438, ,0.25599953532218933, ,
2.0,0.1303066909313202, ,0.15327787399291992, ,0.5097788572311401, ,0.10252735018730164, ,0.17187732458114624, ,0.39978235960006714, ,0.20403656363487244, ,0.14897459745407104, ,0.27073633670806885, ,0.04321402311325073, ,0.10280489176511765, ,0.14366461336612701, ,0.2549511194229126, ,
3.0,0.12957803905010223, ,0.1523318886756897, ,0.5083832144737244, ,0.10205254703760147, ,0.16958554089069366, ,0.3990512192249298, ,0.20342622697353363, ,0.14832408726215363, ,0.2696443796157837, ,0.0429065003991127, ,0.1023373231291771, ,0.14281728863716125, ,0.2539335787296295, ,
4.0,0.12880955636501312, ,0.15137025713920593, ,0.5070917010307312, ,0.10155703127384186, ,0.16727270185947418, ,0.3983510434627533, ,0.20285455882549286, ,0.147700235247612, ,0.26858681440353394, ,0.04261031374335289, ,0.10184389352798462, ,0.14191465079784393, ,0.25289538502693176, ,
5.0,0.12802843749523163, ,0.15043649077415466, ,0.505844235420227, ,0.10104908049106598, ,0.16502532362937927, ,0.39769235253334045, ,0.20222799479961395, ,0.1470240205526352, ,0.267551451921463, ,0.042322058230638504, ,0.10138168185949326, ,0.14099304378032684, ,0.25191518664360046, ,
6.0,0.12728440761566162, ,0.1494712233543396, ,0.5046502351760864, ,0.10057270526885986, ,0.16284607350826263, ,0.3970312774181366, ,0.20161277055740356, ,0.1463434398174286, ,0.2664875388145447, ,0.042051006108522415, ,0.10092799365520477, ,0.14016225934028625, ,0.2509874701499939, ,
7.0,0.12657760083675385, ,0.14855815470218658, ,0.5034155249595642, ,0.10011433064937592, ,0.16059544682502747, ,0.3963894546031952, ,0.20095175504684448, ,0.1457386016845703, ,0.26543253660202026, ,0.04177836328744888, ,0.10049495100975037, ,0.13940396904945374, ,0.24999898672103882, ,
8.0,0.1258198320865631, ,0.1476850062608719, ,0.5023524165153503, ,0.09963228553533554, ,0.15832920372486115, ,0.3957482576370239, ,0.20030300319194794, ,0.14522866904735565, ,0.26449981331825256, ,0.04150775074958801, ,0.10005325078964233, ,0.13853834569454193, ,0.2490292340517044, ,
9.0,0.12504883110523224, ,0.14684782922267914, ,0.5013582706451416, ,0.09918934106826782, ,0.15610653162002563, ,0.39511793851852417, ,0.1996804028749466, ,0.144720658659935, ,0.263510525226593, ,0.041243307292461395, ,0.09962669014930725, ,0.1376907080411911, ,0.24816223978996277, ,
10.0,0.12431300431489944, ,0.14599967002868652, ,0.5003818869590759, ,0.09874927997589111, ,0.15391957759857178, ,0.39452025294303894, ,0.19903793931007385, ,0.14417849481105804, ,0.26254281401634216, ,0.04097443446516991, ,0.09917914867401123, ,0.13686563074588776, ,0.24734459817409515, ,
